pressure,V_ref,gain,Ne_CF4_C2H6_80_10_10_rP040,Ne_CF4_C2H6_80_10_10_rP050,Ne_CF4_C2H6_80_10_10_rP060
CERN_450m,403.1,10.19,240.5,240.4,240.0
CERN_450m,433.9,17.84,262.1,261.7,260.8
CERN_450m,463.6,31.23,283.7,282.9,281.6
CERN_450m,492.3,54.65,305.3,304.1,302.3
CERN_450m,520.1,95.66,326.8,325.3,323.1
CERN_450m,547.0,167.4,348.4,346.4,343.8
CERN_450m,573.3,293,369.9,367.5,364.4
CERN_450m,598.8,512.9,391.5,388.5,385.0
CERN_450m,623.7,897.7,413.0,409.5,405.7
CERN_450m,648.0,1571,434.6,430.5,426.2
CERN_450m,671.7,2750,456.1,451.4,446.8
CERN_450m,695.0,4813,477.6,472.3,467.3
CERN_450m,717.7,8424,499.1,493.1,487.8
CERN_450m,740.0,1.474e+04,520.7,513.9,508.2
Saclay_160m,406.5,9.231,242.1,241.1,240.0
Saclay_160m,437.0,15.93,263.3,262.1,260.8
Saclay_160m,466.5,27.48,284.4,282.9,281.4
Saclay_160m,494.9,47.41,305.5,303.7,302.0
Saclay_160m,522.5,81.8,326.5,324.4,322.5
Saclay_160m,549.2,141.1,347.5,345.1,342.8
Saclay_160m,575.1,243.5,368.4,365.7,363.1
Saclay_160m,600.4,420.2,389.3,386.2,383.4
Saclay_160m,625.0,724.9,410.1,406.7,403.5
Saclay_160m,649.1,1251,430.9,427.1,423.5
Saclay_160m,672.5,2158,451.6,447.5,443.5
Saclay_160m,695.5,3723,472.3,467.8,463.4
Saclay_160m,718.0,6424,492.9,488.0,483.1
Saclay_160m,740.0,1.108e+04,513.5,508.2,502.9
