pressure,V_ref,gain,Ne_CF4_C2H6_80_10_10_uRW50_rP040,Ne_CF4_C2H6_80_10_10_uRW50_rP050,Ne_CF4_C2H6_80_10_10_uRW50_rP060
CERN_450m,296.1,72.12,225.1,221.4,220.0
CERN_450m,312.4,109.4,242.2,238.7,236.6
CERN_450m,328.8,166,259.7,256.3,253.5
CERN_450m,345.2,251.8,277.5,274.2,270.7
CERN_450m,361.6,381.9,295.6,292.3,288.2
CERN_450m,378.0,579.4,314.2,310.8,306.1
CERN_450m,394.5,878.9,333.1,329.5,324.3
CERN_450m,410.9,1333,352.5,348.6,342.9
CERN_450m,427.4,2022,372.3,368.0,362.0
CERN_450m,443.9,3068,392.7,387.8,381.5
CERN_450m,460.5,4654,413.6,407.9,401.5
CERN_450m,477.0,7060,435.1,428.5,422.0
CERN_450m,493.6,1.071e+04,457.2,449.5,443.0
CERN_450m,510.2,1.625e+04,480.0,470.9,464.7
Saclay_160m,300.9,72.73,226.2,223.6,220.0
Saclay_160m,317.5,110.8,243.7,240.8,237.0
Saclay_160m,334.1,168.7,261.4,258.2,254.2
Saclay_160m,350.7,256.9,279.5,275.9,271.8
Saclay_160m,367.3,391.2,297.8,293.9,289.6
Saclay_160m,383.8,595.8,316.5,312.2,307.7
Saclay_160m,400.3,907.3,335.5,330.9,326.2
Saclay_160m,416.8,1382,354.9,349.9,345.0
Saclay_160m,433.3,2104,374.6,369.2,364.1
Saclay_160m,449.8,3205,394.8,389.0,383.6
Saclay_160m,466.2,4880,415.4,409.1,403.6
Saclay_160m,482.7,7432,436.4,429.7,423.9
Saclay_160m,499.1,1.132e+04,457.9,450.7,444.7
Saclay_160m,515.5,1.724e+04,480.0,472.2,466.0
