pressure,mixture,isobutane_pct,V_ref_95_5_V,G_ref,V_equiv_V,delta_V,extrapolated
Saclay_160m,98/2,2,400,2616.8,344.8,-55.2,Y
Saclay_160m,98/2,2,410,3594.6,354.3,-55.7,Y
Saclay_160m,98/2,2,420,4938.9,363.9,-56.1,Y
Saclay_160m,98/2,2,430,6787.3,373.5,-56.5,Y
Saclay_160m,98/2,2,440,9329.6,383.3,-56.7,Y
Saclay_160m,98/2,2,450,12826.9,393.2,-56.8,Y
Saclay_160m,98/2,2,460,17639.2,403.1,-56.9,N
Saclay_160m,98/2,2,470,24262.0,413.2,-56.8,N
Saclay_160m,98/2,2,480,33378.8,423.4,-56.6,N
Saclay_160m,98/2,2,490,45931.4,433.7,-56.3,N
Saclay_160m,95/5,5,400,2616.8,400.0,+0.0,N
Saclay_160m,95/5,5,410,3594.6,410.0,+0.0,N
Saclay_160m,95/5,5,420,4938.9,420.0,+0.0,N
Saclay_160m,95/5,5,430,6787.3,430.0,+0.0,N
Saclay_160m,95/5,5,440,9329.6,440.0,+0.0,N
Saclay_160m,95/5,5,450,12826.9,450.0,+0.0,N
Saclay_160m,95/5,5,460,17639.2,460.0,+0.0,N
Saclay_160m,95/5,5,470,24262.0,470.0,+0.0,N
Saclay_160m,95/5,5,480,33378.8,480.0,+0.0,N
Saclay_160m,95/5,5,490,45931.4,490.0,+0.0,N
Saclay_160m,90/10,10,400,2616.8,474.9,+74.9,N
Saclay_160m,90/10,10,410,3594.6,485.1,+75.1,N
Saclay_160m,90/10,10,420,4938.9,495.2,+75.2,N
Saclay_160m,90/10,10,430,6787.3,505.3,+75.3,N
Saclay_160m,90/10,10,440,9329.6,515.4,+75.4,N
Saclay_160m,90/10,10,450,12826.9,525.4,+75.4,N
Saclay_160m,90/10,10,460,17639.2,535.5,+75.5,N
Saclay_160m,90/10,10,470,24262.0,545.5,+75.5,N
Saclay_160m,90/10,10,480,33378.8,555.5,+75.5,N
Saclay_160m,90/10,10,490,45931.4,565.4,+75.4,N
Saclay_160m,85/15,15,400,2616.8,537.3,+137.3,N
Saclay_160m,85/15,15,410,3594.6,547.7,+137.7,N
Saclay_160m,85/15,15,420,4938.9,558.0,+138.0,N
Saclay_160m,85/15,15,430,6787.3,568.2,+138.2,N
Saclay_160m,85/15,15,440,9329.6,578.4,+138.4,N
Saclay_160m,85/15,15,450,12826.9,588.5,+138.5,N
Saclay_160m,85/15,15,460,17639.2,598.6,+138.6,N
Saclay_160m,85/15,15,470,24262.0,608.6,+138.6,Y
Saclay_160m,85/15,15,480,33378.8,618.5,+138.5,Y
Saclay_160m,85/15,15,490,45931.4,628.3,+138.3,Y
Saclay_160m,80/20,20,400,2616.8,591.3,+191.3,N
Saclay_160m,80/20,20,410,3594.6,601.7,+191.7,Y
Saclay_160m,80/20,20,420,4938.9,611.9,+191.9,Y
Saclay_160m,80/20,20,430,6787.3,622.0,+192.0,Y
Saclay_160m,80/20,20,440,9329.6,632.0,+192.0,Y
Saclay_160m,80/20,20,450,12826.9,641.9,+191.9,Y
Saclay_160m,80/20,20,460,17639.2,651.7,+191.7,Y
Saclay_160m,80/20,20,470,24262.0,661.4,+191.4,Y
Saclay_160m,80/20,20,480,33378.8,670.9,+190.9,Y
