drift,det,n,t0_daq,t_max,v_drift,e_field,used_pure
200,A,217,87.5044616699219,2002.7785400390624,14.97918986060979,66.66666666666667,True
300,A,329,164.8272674560547,1554.27919921875,19.301551494145546,100.0,True
400,A,400,185.65577926635743,1155.9046081542967,25.953698764038002,133.33333333333334,True
450,A,224,133.07474517822266,1069.1468994140625,28.0597549470903,150.0,True
500,A,385,149.19317626953125,907.4179687499999,33.060839693670665,166.66666666666666,True
600,A,409,185.72476196289062,842.5282470703124,35.607114781394834,200.0,True
700,A,399,120.07824859619144,838.8342163085938,35.76392023208013,233.33333333333334,True
200,B,989,-480.42704467773433,1020.3097656249996,29.402835306220204,66.66666666666667,False
300,B,1022,-409.0785308837891,1028.5857604980445,29.166260269317654,100.0,False
400,B,999,-376.5796752929687,965.04892578125,31.086506806599125,133.33333333333334,False
450,B,453,-597.0745849609374,1093.4672363281247,27.43566428267237,150.0,False
500,B,922,-303.3659835815429,1054.5069091796872,28.449315731214448,166.66666666666666,False
600,B,963,-479.66632385253905,988.2897216796874,30.35547101411952,200.0,False
700,B,83,-132.92000770568842,1386.4141601562496,21.638555679941256,233.33333333333334,True
200,C,62,63.53903255462654,1972.6278198242182,15.208139973749997,66.66666666666667,True
300,C,155,63.43282814025879,2075.6072265625,14.453601633332266,100.0,True
400,C,233,19.97685661315925,1695.7249511718749,17.6915483724337,133.33333333333334,True
450,C,138,8.954052639007589,1569.4679138183594,19.11475840688771,150.0,True
500,C,289,96.7171142578125,1355.5775146484373,22.130789037010814,166.66666666666666,True
600,C,325,72.38611450195313,1221.6994140625,24.555958408984925,200.0,True
700,C,373,47.988282775878915,1053.660107421875,28.47217977475188,233.33333333333334,True
200,D,198,82.8127208709717,1151.682482910156,26.048846314128,66.66666666666667,True
300,D,182,-218.2761581420898,1589.078570556639,18.87886512086768,100.0,True
400,D,223,67.59077072143558,1420.3660400390595,21.12131602299856,133.33333333333334,True
450,D,94,-228.30326843261713,1223.5651916503903,24.518513770022242,150.0,True
500,D,285,-585.7966552734374,1177.015673828125,25.488190741273666,166.66666666666666,True
600,D,341,-13.095474243164062,1162.7020263671875,25.801967589007916,200.0,True
700,D,273,-84.53932800292968,1111.5093994140623,26.99032506231135,233.33333333333334,True
