gas,pressure_label,pressure_torr,voltage_V,field_Vcm,n_events_total,gain_mean,gain_median,gain_std,gain_rms_rel,survival
Ar_iC4H10_95_5,CERN_450m,720.81,400.0,26666.666666666668,20000,3072.87,2714.00,1984.47,0.6458,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,410.0,27333.333333333336,20000,4159.36,3657.50,2691.91,0.6472,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,420.0,28000.0,20000,5765.57,5132.50,3686.00,0.6393,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,430.0,28666.666666666668,20000,7895.17,7010.00,5047.77,0.6393,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,440.0,29333.333333333336,20000,10856.35,9684.00,6807.88,0.6271,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,450.0,30000.0,20000,14983.10,13552.00,9347.27,0.6239,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,460.0,30666.666666666668,20000,20644.46,18346.50,13023.50,0.6308,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,470.0,31333.333333333336,12000,28263.47,25373.00,17859.92,0.6319,1.0000
Ar_iC4H10_95_5,CERN_450m,720.81,480.0,32000.0,3000,38506.72,34200.00,23341.81,0.6062,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,400.0,26666.666666666668,20000,2629.73,2321.00,1723.57,0.6554,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,410.0,27333.333333333336,20000,3613.53,3228.00,2314.01,0.6404,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,420.0,28000.0,20000,4887.03,4319.00,3155.87,0.6458,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,430.0,28666.666666666668,20000,6721.02,5891.00,4326.65,0.6437,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,440.0,29333.333333333336,20000,9372.40,8369.00,5937.47,0.6335,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,450.0,30000.0,20000,12773.36,11383.00,8130.78,0.6365,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,460.0,30666.666666666668,20000,17724.58,15867.00,11161.03,0.6297,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,470.0,31333.333333333336,13000,24483.97,22012.50,15238.71,0.6224,1.0000
Ar_iC4H10_95_5,Saclay_160m,745.83,480.0,32000.0,14000,33630.71,30271.00,20845.48,0.6198,1.0000
