# ideal-case e+e- truth kinematics, n+3He -> 4He*(20.58 MeV) -> e+e-
# source: signal_openingangle.npz <- Geant4 pairs_thermal_trig_2cm EventTree (generator truth, ungated)
# reduce: mpgd26/make_pair_kinematics.py --reduce
# x17: n=1000878 ke_lo=3.847 ke_hi=15.711 theta_min=109.34 theta_med=116.90 theta_q25=111.1 theta_q75=129.7 soft_min=3.847 soft_med=6.812 sum_ke=19.5580
# ipc: n=999122 ke_lo=0.001 ke_hi=19.557 theta_min=0.00 theta_med=30.36 theta_q25=11.3 theta_q75=70.6 soft_min=0.001 soft_med=5.926 sum_ke=19.5580
kind,channel,lo,hi,density
lepton_ke,x17,0,0.2,0
lepton_ke,x17,0.2,0.4,0
lepton_ke,x17,0.4,0.6,0
lepton_ke,x17,0.6,0.8,0
lepton_ke,x17,0.8,1,0
lepton_ke,x17,1,1.2,0
lepton_ke,x17,1.2,1.4,0
lepton_ke,x17,1.4,1.6,0
lepton_ke,x17,1.6,1.8,0
lepton_ke,x17,1.8,2,0
lepton_ke,x17,2,2.2,0
lepton_ke,x17,2.2,2.4,0
lepton_ke,x17,2.4,2.6,0
lepton_ke,x17,2.6,2.8,0
lepton_ke,x17,2.8,3,0
lepton_ke,x17,3,3.2,0
lepton_ke,x17,3.2,3.4,0
lepton_ke,x17,3.4,3.6,0
lepton_ke,x17,3.6,3.8,0
lepton_ke,x17,3.8,4,0.064878
lepton_ke,x17,4,4.2,0.0845108
lepton_ke,x17,4.2,4.4,0.0838089
lepton_ke,x17,4.4,4.6,0.0843634
lepton_ke,x17,4.6,4.8,0.0850378
lepton_ke,x17,4.8,5,0.0840137
lepton_ke,x17,5,5.2,0.0837814
lepton_ke,x17,5.2,5.4,0.0843185
lepton_ke,x17,5.4,5.6,0.0836291
lepton_ke,x17,5.6,5.8,0.0841062
lepton_ke,x17,5.8,6,0.0845583
lepton_ke,x17,6,6.2,0.084246
lepton_ke,x17,6.2,6.4,0.0843659
lepton_ke,x17,6.4,6.6,0.0845832
lepton_ke,x17,6.6,6.8,0.0845508
lepton_ke,x17,6.8,7,0.0843959
lepton_ke,x17,7,7.2,0.0843759
lepton_ke,x17,7.2,7.4,0.0835616
lepton_ke,x17,7.4,7.6,0.0840712
lepton_ke,x17,7.6,7.8,0.0835117
lepton_ke,x17,7.8,8,0.0839713
lepton_ke,x17,8,8.2,0.0841461
lepton_ke,x17,8.2,8.4,0.0850104
lepton_ke,x17,8.4,8.6,0.0846357
lepton_ke,x17,8.6,8.8,0.0847081
lepton_ke,x17,8.8,9,0.0844758
lepton_ke,x17,9,9.2,0.084331
lepton_ke,x17,9.2,9.4,0.0840512
lepton_ke,x17,9.4,9.6,0.0845333
lepton_ke,x17,9.6,9.8,0.084291
lepton_ke,x17,9.8,10,0.0843509
lepton_ke,x17,10,10.2,0.084813
lepton_ke,x17,10.2,10.4,0.0835417
lepton_ke,x17,10.4,10.6,0.0846457
lepton_ke,x17,10.6,10.8,0.0842685
lepton_ke,x17,10.8,11,0.0848455
lepton_ke,x17,11,11.2,0.0850553
lepton_ke,x17,11.2,11.4,0.0844558
lepton_ke,x17,11.4,11.6,0.0842985
lepton_ke,x17,11.6,11.8,0.0839813
lepton_ke,x17,11.8,12,0.0835342
lepton_ke,x17,12,12.2,0.0838089
lepton_ke,x17,12.2,12.4,0.0837714
lepton_ke,x17,12.4,12.6,0.084301
lepton_ke,x17,12.6,12.8,0.0845283
lepton_ke,x17,12.8,13,0.0847156
lepton_ke,x17,13,13.2,0.0841586
lepton_ke,x17,13.2,13.4,0.0843035
lepton_ke,x17,13.4,13.6,0.0841461
lepton_ke,x17,13.6,13.8,0.0850253
lepton_ke,x17,13.8,14,0.0836965
lepton_ke,x17,14,14.2,0.083694
lepton_ke,x17,14.2,14.4,0.0843784
lepton_ke,x17,14.4,14.6,0.0839013
lepton_ke,x17,14.6,14.8,0.0840762
lepton_ke,x17,14.8,15,0.084908
lepton_ke,x17,15,15.2,0.0845832
lepton_ke,x17,15.2,15.4,0.0838664
lepton_ke,x17,15.4,15.6,0.0843784
lepton_ke,x17,15.6,15.8,0.0471461
lepton_ke,x17,15.8,16,0
lepton_ke,x17,16,16.2,0
lepton_ke,x17,16.2,16.4,0
lepton_ke,x17,16.4,16.6,0
lepton_ke,x17,16.6,16.8,0
lepton_ke,x17,16.8,17,0
lepton_ke,x17,17,17.2,0
lepton_ke,x17,17.2,17.4,0
lepton_ke,x17,17.4,17.6,0
lepton_ke,x17,17.6,17.8,0
lepton_ke,x17,17.8,18,0
lepton_ke,x17,18,18.2,0
lepton_ke,x17,18.2,18.4,0
lepton_ke,x17,18.4,18.6,0
lepton_ke,x17,18.6,18.8,0
lepton_ke,x17,18.8,19,0
lepton_ke,x17,19,19.2,0
