eventId,front_x_mm,front_y_mm,back_x_mm,back_y_mm,z_front_mm,z_back_mm
331855,94.9598,20.6504,91.0848,18.3846,0.0,1370.0
691589,30.9697,59.2362,29.4032,56.8232,0.0,1370.0
805082,77.6630,49.5330,76.8174,47.1404,0.0,1370.0
1296957,62.5180,43.6811,4.3085,60.4238,0.0,1370.0
38313,86.2246,67.1712,84.9504,65.7376,0.0,1370.0
742427,72.4047,91.6793,54.3168,79.6278,0.0,1370.0
863724,81.0509,56.6076,80.1828,54.9919,0.0,1370.0
1020988,83.5798,24.4102,80.4310,21.7241,0.0,1370.0
698196,97.6121,66.4395,96.0237,66.1313,0.0,1370.0
567845,80.4794,37.7749,79.5852,34.7358,0.0,1370.0
1281528,35.3796,26.2151,33.5981,22.6428,0.0,1370.0
484918,80.8814,47.1902,80.2258,45.3096,0.0,1370.0
915378,67.2649,55.3638,66.0790,54.2801,0.0,1370.0
274600,92.3579,19.6072,91.4353,16.9058,0.0,1370.0
180234,56.5762,57.4403,55.5419,55.8607,0.0,1370.0
241282,77.2685,60.7084,76.2984,58.8481,0.0,1370.0
867652,80.4490,41.3005,75.7474,42.4191,0.0,1370.0
712478,55.1595,41.7830,55.1916,40.3023,0.0,1370.0
585876,72.2332,58.3374,70.5416,57.5786,0.0,1370.0
1523891,68.0622,84.6732,88.1064,57.7120,0.0,1370.0
1112009,44.3686,90.5285,43.3663,90.2582,0.0,1370.0
1337914,42.7026,28.5842,39.3497,75.7054,0.0,1370.0
644516,98.9295,53.5858,98.2072,51.1425,0.0,1370.0
182995,74.5201,94.7937,74.7191,93.1210,0.0,1370.0
1476627,45.7001,82.2023,44.4673,81.8589,0.0,1370.0
1504179,78.6016,26.8078,77.5345,22.6630,0.0,1370.0
139912,57.8099,85.9260,60.7444,82.1168,0.0,1370.0
1575336,41.9778,60.5183,40.6630,59.8668,0.0,1370.0
1564991,54.3104,33.6489,52.6061,30.8095,0.0,1370.0
884294,80.8062,36.2222,79.9415,33.2969,0.0,1370.0
1152854,41.5914,23.8283,41.5683,20.6621,0.0,1370.0
519582,94.4861,71.9931,93.5639,70.6432,0.0,1370.0
1038168,75.0077,67.8351,60.2512,58.4922,0.0,1370.0
1109309,75.8705,31.6194,71.7001,28.3159,0.0,1370.0
216555,41.9847,50.2379,44.8817,47.7329,0.0,1370.0
843528,57.3914,52.4020,56.6771,50.2916,0.0,1370.0
918595,83.5937,91.5143,74.2097,54.4775,0.0,1370.0
1222373,67.4356,16.7434,67.0751,13.7740,0.0,1370.0
575935,78.4550,34.5939,77.6206,32.3259,0.0,1370.0
957072,75.5643,17.4434,73.9904,14.3102,0.0,1370.0
836502,27.3689,49.6027,85.0625,68.6619,0.0,1370.0
1335419,72.9968,22.1567,71.7658,18.7777,0.0,1370.0
1199208,72.9973,18.3375,71.6673,14.4115,0.0,1370.0
1286134,45.7115,88.6350,44.4269,88.4700,0.0,1370.0
992268,71.8429,27.7296,68.4357,27.2166,0.0,1370.0
1420208,80.4939,18.6357,79.9448,14.7142,0.0,1370.0
1488137,92.5645,26.3931,91.1523,23.1591,0.0,1370.0
666087,80.9580,98.3259,79.2041,97.9956,0.0,1370.0
476660,67.5691,42.3257,66.5163,39.8392,0.0,1370.0
1189042,79.2037,77.9980,77.1502,78.4186,0.0,1370.0
322455,73.3069,73.2330,73.4440,70.9438,0.0,1370.0
1593691,65.5966,21.1769,64.6299,17.8354,0.0,1370.0
1595364,81.8383,21.5590,81.0965,18.0594,0.0,1370.0
438465,71.7170,90.7954,70.4232,90.2900,0.0,1370.0
31950,55.3098,106.1230,6.0835,26.4221,0.0,1370.0
274503,26.8462,32.2506,26.5512,28.0259,0.0,1370.0
1218162,62.1860,23.7515,61.9294,20.6611,0.0,1370.0
1331020,90.2141,36.4910,89.6813,33.4749,0.0,1370.0
718092,94.5542,23.4488,93.3493,20.3254,0.0,1370.0
428963,61.4644,90.5051,62.3934,82.8348,0.0,1370.0
200529,66.6405,63.8213,65.7030,60.7655,0.0,1370.0
1481819,61.7078,34.8357,61.6529,31.4245,0.0,1370.0
1058383,70.6690,114.2903,52.5127,96.8109,0.0,1370.0
485782,77.0319,41.1969,75.0151,37.9479,0.0,1370.0
1213325,46.2039,26.6433,46.5168,22.1919,0.0,1370.0
1290847,67.0718,23.8988,66.5709,21.4096,0.0,1370.0
829837,93.6913,49.5927,92.6435,47.5291,0.0,1370.0
1261113,21.3268,60.6311,20.6691,59.6220,0.0,1370.0
1142283,45.1882,31.2677,44.3744,28.2494,0.0,1370.0
1259474,66.8942,47.4921,65.4911,51.5691,0.0,1370.0
651624,71.7163,23.2864,70.7655,20.6404,0.0,1370.0
1136610,46.4653,81.6329,45.2211,80.4508,0.0,1370.0
30103,27.5390,115.4988,5.6724,50.6876,0.0,1370.0
1020122,56.3714,19.1061,55.2813,15.9748,0.0,1370.0
971362,68.0399,63.3730,65.6139,62.5094,0.0,1370.0
1274334,91.7606,36.6810,55.0759,22.7403,0.0,1370.0
1340971,70.7893,24.2570,72.0616,21.7146,0.0,1370.0
1013239,68.6862,18.5298,69.1458,16.0846,0.0,1370.0
