channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,25,7,0.28
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,471,394,0.8365180467091295
442,422.179,161.709,1509,1403,0.9297548045062956
441,208.787,79.8333,0,0,
440,454.3997,173.4382,571,522,0.9141856392294221
439,486.6205,185.1675,113,94,0.831858407079646
438,241.0062,91.5587,0,0,
437,518.8405,196.8959,0,0,
436,551.0603,208.6245,0,0,
435,273.2253,103.284,8,1,0.125
434,305.4442,115.01,8,4,0.5
433,337.6629,126.7359,12,2,0.16666666666666666
432,369.8815,138.4616,21,10,0.47619047619047616
431,402.1,150.1879,1104,950,0.8605072463768116
430,434.3186,161.9136,905,832,0.9193370165745857
429,466.5371,173.6401,175,132,0.7542857142857143
428,498.7553,185.3661,19,9,0.47368421052631576
427,530.9736,197.0923,0,0,
426,253.1154,91.7747,0,0,
425,285.3339,103.4937,9,2,0.2222222222222222
424,317.5523,115.2142,4,1,
423,349.7707,126.9359,17,9,0.5294117647058824
422,381.9891,138.6582,9,6,0.6666666666666666
421,414.2072,150.3811,840,750,0.8928571428571429
420,446.4257,162.1048,207,191,0.9227053140096618
419,478.6436,173.8288,28,18,0.6428571428571429
418,510.862,185.5531,0,0,
417,543.08,197.2778,0,0,
416,220.8966,80.0583,0,0,
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,237,204,0.8607594936708861
411,458.5021,162.2831,24,12,0.5
410,490.7221,174.0057,22,7,0.3181818181818182
409,522.9418,185.7294,0,0,
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,152,127,0.8355263157894737
406,361.84,127.1193,13,3,0.23076923076923078
405,329.6184,115.4001,16,5,0.3125
404,297.3957,103.6827,10,3,0.3
403,265.1722,91.9671,0,0,
402,232.9471,80.2552,0,0,
401,200.7195,68.5485,0,0,
400,168.4884,56.8501,0,0,
399,136.2509,45.167,0,0,
398,534.9965,185.8953,0,0,
397,502.7736,174.1724,16,5,0.3125
