tree,run,subrun,det,key,tier,reason,gas,resist_V,drift_V,feu_x,feu_y,det_z,n_dec_files,dec_mb,has_hits,has_m3v2,has_m3v1,bundle,eos_run_dir
det1_det2,mx17_det1_det2_overnight_6-17-26,longer_run,mx17_1,c26__mx17_det1_det2_overnight_6-17-26__longer_run__mx17_1,C,no frozen bundle for this detector,Ar/Iso 95/5,500,1000,3,4,232,4,1632,1,0,1,,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,longer_run,mx17_2,c26__mx17_det1_det2_overnight_6-17-26__longer_run__mx17_2,C,resist 500 V != bundle 495 V,Ar/Iso 95/5,500,1000,7,8,702,4,1796,1,0,1,calib_bundle_lp,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,quick_run,mx17_1,c26__mx17_det1_det2_overnight_6-17-26__quick_run__mx17_1,C,no frozen bundle for this detector,Ar/Iso 95/5,500,1000,3,4,232,2,205,1,0,1,,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,quick_run,mx17_2,c26__mx17_det1_det2_overnight_6-17-26__quick_run__mx17_2,C,resist 500 V != bundle 495 V,Ar/Iso 95/5,500,1000,7,8,702,2,225,1,0,1,calib_bundle_lp,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_450V_drift_1000V,mx17_1,c26__mx17_det1_det2_overnight_6-17-26__resist_450V_drift_1000V__mx17_1,C,no frozen bundle for this detector,Ar/Iso 95/5,450,1000,3,4,232,2,389,1,0,1,,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_450V_drift_1000V,mx17_2,c26__mx17_det1_det2_overnight_6-17-26__resist_450V_drift_1000V__mx17_2,C,resist 450 V != bundle 495 V,Ar/Iso 95/5,450,1000,7,8,702,2,430,1,0,1,calib_bundle_lp,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_460V_drift_1000V,mx17_1,c26__mx17_det1_det2_overnight_6-17-26__resist_460V_drift_1000V__mx17_1,C,no frozen bundle for this detector,Ar/Iso 95/5,460,1000,3,4,232,2,380,1,0,1,,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_460V_drift_1000V,mx17_2,c26__mx17_det1_det2_overnight_6-17-26__resist_460V_drift_1000V__mx17_2,C,resist 460 V != bundle 495 V,Ar/Iso 95/5,460,1000,7,8,702,2,419,1,0,1,calib_bundle_lp,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_470V_drift_1000V,mx17_1,c26__mx17_det1_det2_overnight_6-17-26__resist_470V_drift_1000V__mx17_1,C,no frozen bundle for this detector,Ar/Iso 95/5,470,1000,3,4,232,2,358,1,0,1,,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_470V_drift_1000V,mx17_2,c26__mx17_det1_det2_overnight_6-17-26__resist_470V_drift_1000V__mx17_2,C,resist 470 V != bundle 495 V,Ar/Iso 95/5,470,1000,7,8,702,2,395,1,0,1,calib_bundle_lp,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
det1_det2,mx17_det1_det2_overnight_6-17-26,resist_480V_drift_1000V,mx17_1,c26__mx17_det1_det2_overnight_6-17-26__resist_480V_drift_1000V__mx17_1,C,no frozen bundle for this detector,Ar/Iso 95/5,480,1000,3,4,232,2,380,1,0,1,,/eos/experiment/ntof/data/x17/cosmic_bench/june_tests/mx17_det1_det2_overnight_6-17-26
