label,split,gap_low,gap_high,d_gap,map_rms,map_corr,split_half_rms
det3 6-27 sat (top),charge,27.48,28.15,-0.67,0.61,0.83,0.64
det3 6-27 sat (top),|tan|,27.55,28.13,-0.59,0.88,0.69,0.64
det3 6-27 P2 (top),charge,29.52,30.04,-0.52,0.74,0.86,0.56
det3 6-27 P2 (top),|tan|,29.94,29.58,0.36,0.75,0.87,0.56
det3 6-22 long (bot),charge,12.14,12.88,-0.74,0.46,0.01,0.46
det3 6-22 long (bot),|tan|,12.42,12.58,-0.16,0.43,0.0,0.46
det2 6-22 longer (top),charge,29.88,31.16,-1.28,0.9,0.65,0.84
det2 6-22 longer (top),|tan|,30.64,30.51,0.13,1.08,0.47,0.84
det2 6-22 long (top),charge,32.27,32.59,-0.33,1.24,0.31,0.64
det2 6-22 long (top),|tan|,32.97,31.98,0.99,1.2,0.35,0.64
det4 6-24 long,charge,20.87,30.17,-9.3,2.97,0.27,2.15
det4 6-24 long,|tan|,26.7,24.94,1.76,2.29,0.47,2.15
det6 6-26 long,charge,27.09,27.1,-0.01,1.21,0.59,0.83
det6 6-26 long,|tan|,25.5,27.84,-2.34,1.32,0.4,0.83
det7 6-26 long,charge,26.76,29.09,-2.33,1.57,0.37,1.35
det7 6-26 long,|tan|,27.15,28.33,-1.19,1.34,0.62,1.35
