label,det,q_med,n,gap,err
det3 6-27 sat (top),det3,4969,1309,27.35,0.16
det3 6-27 sat (top),det3,6634,1309,27.42,0.15
det3 6-27 sat (top),det3,8158,1309,27.59,0.15
det3 6-27 sat (top),det3,10180,1309,27.7,0.17
det3 6-27 sat (top),det3,15394,1309,28.96,0.23
det3 6-27 P2 (top),det3,5204,2202,29.58,0.12
det3 6-27 P2 (top),det3,7150,2202,29.44,0.12
det3 6-27 P2 (top),det3,8949,2202,29.55,0.12
det3 6-27 P2 (top),det3,11546,2202,29.58,0.13
det3 6-27 P2 (top),det3,18426,2202,30.83,0.21
det3 6-22 long (bot),det3,4201,2137,12.07,0.08
det3 6-22 long (bot),det3,7291,2137,12.3,0.07
det3 6-22 long (bot),det3,10453,2137,12.11,0.07
det3 6-22 long (bot),det3,14635,2137,12.39,0.08
det3 6-22 long (bot),det3,24712,2137,14.54,0.63
det2 6-22 longer (top),det2,5536,669,29.61,0.23
det2 6-22 longer (top),det2,7772,669,30.06,0.21
det2 6-22 longer (top),det2,10045,669,30.13,0.21
det2 6-22 longer (top),det2,13068,669,30.99,0.21
det2 6-22 longer (top),det2,19155,669,31.81,0.32
det2 6-22 long (top),det2,6121,2140,32.34,0.14
det2 6-22 long (top),det2,8670,2140,32.16,0.13
det2 6-22 long (top),det2,11198,2140,32.32,0.14
det2 6-22 long (top),det2,14898,2140,32.24,0.14
det2 6-22 long (top),det2,24178,2140,33.13,0.2
det4 6-24 long,det4,814,954,16.65,0.91
det4 6-24 long,det4,2728,954,23.55,0.57
det4 6-24 long,det4,5347,953,26.16,0.38
det4 6-24 long,det4,10021,954,26.2,0.39
det4 6-24 long,det4,28584,954,,
det6 6-26 long,det6,7933,1398,26.57,0.48
det6 6-26 long,det6,11136,1398,27.17,0.49
det6 6-26 long,det6,14021,1397,27.09,0.47
det6 6-26 long,det6,17838,1398,26.78,0.44
det6 6-26 long,det6,25159,1398,27.82,0.68
det7 6-26 long,det7,4142,1113,26.26,0.31
det7 6-26 long,det7,8567,1113,26.67,0.26
det7 6-26 long,det7,11948,1113,27.82,0.21
det7 6-26 long,det7,16444,1113,27.58,0.25
det7 6-26 long,det7,27028,1113,33.53,0.66
