tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,126,0.009532,0.001827
-0.600,-0.400,128,0.008151,0.001413
-0.400,-0.200,134,0.005563,0.001196
-0.200,-0.000,123,0.007047,0.001391
-0.000,0.200,131,0.014278,0.002559
0.200,0.400,129,0.014395,0.003038
0.400,0.600,127,0.040688,0.006244
0.600,0.800,132,0.070159,0.007463
0.800,1.000,123,0.095720,0.008762
1.000,1.200,129,0.129924,0.008667
1.200,1.400,128,0.115792,0.008807
1.400,1.600,132,0.107066,0.008199
1.600,1.800,128,0.079229,0.008048
1.800,2.000,123,0.057959,0.007342
2.000,2.200,133,0.033264,0.005004
2.200,2.400,130,0.014492,0.001922
