tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-1.000,-0.750,0,nan,nan
-0.750,-0.500,0,nan,nan
-0.500,-0.250,0,nan,nan
-0.250,0.000,0,nan,nan
0.000,0.250,383,0.026443,0.002895
0.250,0.500,64,0.041028,0.009001
0.500,0.750,834,0.064707,0.003234
0.750,1.000,750,0.084499,0.002741
1.000,1.250,379,0.130597,0.005711
1.250,1.500,56,0.072224,0.009766
1.500,1.750,837,0.106449,0.003580
1.750,2.000,723,0.043787,0.002185
2.000,2.250,166,0.035826,0.005276
2.250,2.500,55,0.015280,0.004632
2.500,2.750,491,0.012278,0.000915
2.750,3.000,271,0.007873,0.000950
3.000,3.250,138,0.008074,0.001423
3.250,3.500,32,0.005707,0.002176
3.500,3.750,496,0.009464,0.000958
3.750,4.000,252,0.006994,0.001006
4.000,4.250,22,0.008321,0.002926
4.250,4.500,22,0.006557,0.003183
4.500,4.750,167,0.007371,0.001115
4.750,5.000,243,0.007959,0.001099
5.000,5.250,13,0.009470,0.004194
5.250,5.500,11,0.007267,0.003827
5.500,5.750,160,0.007450,0.001143
5.750,6.000,233,0.008931,0.001389
