tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,0,nan,nan
-0.600,-0.400,0,nan,nan
-0.400,-0.200,0,nan,nan
-0.200,-0.000,0,nan,nan
-0.000,0.200,380,0.030422,0.003319
0.200,0.400,394,0.036830,0.003590
0.400,0.600,392,0.051439,0.004051
0.600,0.800,387,0.079536,0.004730
0.800,1.000,383,0.104296,0.004973
1.000,1.200,374,0.131383,0.005107
1.200,1.400,350,0.114675,0.005031
1.400,1.600,331,0.101092,0.004911
1.600,1.800,341,0.083066,0.004792
1.800,2.000,337,0.055410,0.004193
2.000,2.200,322,0.027958,0.002674
2.200,2.400,355,0.015110,0.001275
