tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,126,0.000897,0.000111
-0.600,-0.400,128,0.000578,0.000069
-0.400,-0.200,134,0.000530,0.000066
-0.200,-0.000,123,0.000431,0.000086
-0.000,0.200,131,0.003176,0.001305
0.200,0.400,129,0.004116,0.001847
0.400,0.600,127,0.021465,0.004030
0.600,0.800,132,0.042659,0.005062
0.800,1.000,123,0.060683,0.006022
1.000,1.200,129,0.088178,0.006177
1.200,1.400,128,0.076219,0.005979
1.400,1.600,132,0.073136,0.005705
1.600,1.800,128,0.053789,0.005703
1.800,2.000,123,0.039325,0.005312
2.000,2.200,133,0.021970,0.003751
2.200,2.400,130,0.005085,0.000840
