tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-1.000,-0.750,0,nan,nan
-0.750,-0.500,0,nan,nan
-0.500,-0.250,0,nan,nan
-0.250,0.000,0,nan,nan
0.000,0.250,383,0.013496,0.001878
0.250,0.500,64,0.023937,0.006175
0.500,0.750,834,0.039761,0.002244
0.750,1.000,750,0.054951,0.001919
1.000,1.250,379,0.087512,0.003925
1.250,1.500,56,0.046821,0.006641
1.500,1.750,837,0.073030,0.002494
1.750,2.000,723,0.027119,0.001484
2.000,2.250,166,0.023663,0.003745
2.250,2.500,55,0.006709,0.002939
2.500,2.750,491,0.004344,0.000487
2.750,3.000,271,0.001251,0.000224
3.000,3.250,138,0.001319,0.000183
3.250,3.500,32,0.001094,0.000082
3.500,3.750,496,0.001778,0.000351
3.750,4.000,252,0.000361,0.000038
4.000,4.250,22,0.000545,0.000109
4.250,4.500,22,0.000455,0.000143
4.500,4.750,167,0.000186,0.000037
4.750,5.000,243,0.000210,0.000048
5.000,5.250,13,0.000385,0.000180
5.250,5.500,11,-0.000000,0.000135
5.500,5.750,160,0.000006,0.000037
5.750,6.000,233,0.001472,0.000600
