tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,0,nan,nan
-0.600,-0.400,0,nan,nan
-0.400,-0.200,0,nan,nan
-0.200,-0.000,0,nan,nan
-0.000,0.200,380,0.016247,0.002279
0.200,0.400,394,0.020518,0.002434
0.400,0.600,392,0.029727,0.002730
0.600,0.800,387,0.050132,0.003229
0.800,1.000,383,0.068277,0.003496
1.000,1.200,374,0.089005,0.003560
1.200,1.400,350,0.076040,0.003447
1.400,1.600,331,0.068293,0.003409
1.600,1.800,341,0.056123,0.003320
1.800,2.000,337,0.037724,0.003040
2.000,2.200,322,0.017205,0.001987
2.200,2.400,355,0.006625,0.000804
