tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,126,0.016861,0.002668
-0.600,-0.400,128,0.012699,0.002492
-0.400,-0.200,134,0.011737,0.002196
-0.200,-0.000,123,0.009069,0.002528
-0.000,0.200,131,0.013517,0.004545
0.200,0.400,129,0.023943,0.006053
0.400,0.600,127,0.083006,0.013736
0.600,0.800,132,0.146226,0.016673
0.800,1.000,123,0.224305,0.020508
1.000,1.200,129,0.306000,0.019617
1.200,1.400,128,0.290696,0.018514
1.400,1.600,132,0.293881,0.017132
1.600,1.800,128,0.228635,0.017866
1.800,2.000,123,0.178781,0.017267
2.000,2.200,133,0.110199,0.012895
2.200,2.400,130,0.047396,0.004414
