tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-1.000,-0.750,0,nan,nan
-0.750,-0.500,0,nan,nan
-0.500,-0.250,0,nan,nan
-0.250,0.000,0,nan,nan
0.000,0.250,383,0.064217,0.005864
0.250,0.500,64,0.089119,0.019896
0.500,0.750,834,0.132848,0.007001
0.750,1.000,750,0.239575,0.007002
1.000,1.250,379,0.297126,0.011831
1.250,1.500,56,0.213429,0.023275
1.500,1.750,837,0.270385,0.007536
1.750,2.000,723,0.150183,0.006209
2.000,2.250,166,0.112816,0.012089
2.250,2.500,55,0.047573,0.010238
2.500,2.750,491,0.039148,0.002547
2.750,3.000,271,0.017667,0.002073
3.000,3.250,138,0.015488,0.002321
3.250,3.500,32,0.021747,0.005966
3.500,3.750,496,0.015473,0.001945
3.750,4.000,252,0.006208,0.001860
4.000,4.250,22,0.011765,0.004353
4.250,4.500,22,0.010526,0.005351
4.500,4.750,167,0.008237,0.002163
4.750,5.000,243,0.006321,0.001721
5.000,5.250,13,0.004541,0.006785
5.250,5.500,11,0.002386,0.010657
5.500,5.750,160,0.007607,0.002304
5.750,6.000,233,0.014822,0.003056
