tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,0,nan,nan
-0.600,-0.400,0,nan,nan
-0.400,-0.200,0,nan,nan
-0.200,-0.000,0,nan,nan
-0.000,0.200,380,0.066210,0.007374
0.200,0.400,394,0.079434,0.007845
0.400,0.600,392,0.113024,0.008948
0.600,0.800,387,0.174757,0.010362
0.800,1.000,383,0.246953,0.011395
1.000,1.200,374,0.320821,0.011011
1.200,1.400,350,0.297246,0.010672
1.400,1.600,331,0.281387,0.010581
1.600,1.800,341,0.242873,0.010864
1.800,2.000,337,0.176403,0.010363
2.000,2.200,322,0.099318,0.007137
2.200,2.400,355,0.055800,0.003605
