tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,126,0.000000,0.000000
-0.600,-0.400,128,0.000000,0.000000
-0.400,-0.200,134,0.000000,0.000000
-0.200,-0.000,123,0.000000,0.000000
-0.000,0.200,131,0.000000,0.000000
0.200,0.400,129,0.000000,0.000000
0.400,0.600,127,0.000000,0.000000
0.600,0.800,132,0.000000,0.000000
0.800,1.000,123,0.000000,0.000000
1.000,1.200,129,0.000000,0.000000
1.200,1.400,128,0.000000,0.000000
1.400,1.600,132,0.000000,0.000000
1.600,1.800,128,0.000000,0.000000
1.800,2.000,123,0.000000,0.000000
2.000,2.200,133,0.000000,0.000000
2.200,2.400,130,0.000000,0.000000
