tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-1.000,-0.750,0,nan,nan
-0.750,-0.500,0,nan,nan
-0.500,-0.250,0,nan,nan
-0.250,0.000,0,nan,nan
0.000,0.250,383,0.000000,0.000000
0.250,0.500,64,0.000000,0.000000
0.500,0.750,834,0.000000,0.000000
0.750,1.000,750,0.000000,0.000000
1.000,1.250,379,0.000000,0.000000
1.250,1.500,56,0.000000,0.000000
1.500,1.750,837,0.000000,0.000000
1.750,2.000,723,0.000000,0.000000
2.000,2.250,166,0.000000,0.000000
2.250,2.500,55,0.000000,0.000000
2.500,2.750,491,0.000000,0.000000
2.750,3.000,271,0.000000,0.000000
3.000,3.250,138,0.000000,0.000000
3.250,3.500,32,0.000000,0.000000
3.500,3.750,496,0.000000,0.000000
3.750,4.000,252,0.000000,0.000000
4.000,4.250,22,0.000000,0.000000
4.250,4.500,22,0.000000,0.000000
4.500,4.750,167,0.000000,0.000000
4.750,5.000,243,0.000000,0.000000
5.000,5.250,13,0.000000,0.000000
5.250,5.500,11,0.000000,0.000000
5.500,5.750,160,0.000000,0.000000
5.750,6.000,233,0.000000,0.000000
