tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.600,0,nan,nan
-0.600,-0.400,0,nan,nan
-0.400,-0.200,0,nan,nan
-0.200,-0.000,0,nan,nan
-0.000,0.200,380,0.000000,0.000000
0.200,0.400,394,0.000000,0.000000
0.400,0.600,392,0.000000,0.000000
0.600,0.800,387,0.000000,0.000000
0.800,1.000,383,0.000000,0.000000
1.000,1.200,374,0.000000,0.000000
1.200,1.400,350,0.000000,0.000000
1.400,1.600,331,0.000000,0.000000
1.600,1.800,341,0.000000,0.000000
1.800,2.000,337,0.000000,0.000000
2.000,2.200,322,0.000000,0.000000
2.200,2.400,355,0.000000,0.000000
