tau_lo_s,tau_hi_s,h_ua,h_err_ua
-0.800,-0.600,-0.000786,0.003632
-0.600,-0.400,0.002452,0.003563
-0.400,-0.200,0.001670,0.003649
-0.200,-0.000,0.008507,0.003671
-0.000,0.200,0.010333,0.003472
0.200,0.400,0.016253,0.003420
0.400,0.600,0.035802,0.003416
0.600,0.800,0.066235,0.003433
0.800,1.000,0.094973,0.003450
1.000,1.200,0.123600,0.003485
1.200,1.400,0.112648,0.003416
1.400,1.600,0.099061,0.003449
1.600,1.800,0.078361,0.003633
1.800,2.000,0.045569,0.003605
2.000,2.200,0.018478,0.003675
2.200,2.400,-0.000691,0.003608
