tau_lo_s,tau_hi_s,h_ua,h_err_ua
-0.800,-0.600,-0.001468,0.002477
-0.600,-0.400,0.000868,0.002430
-0.400,-0.200,0.002080,0.002489
-0.200,-0.000,0.005277,0.002503
-0.000,0.200,0.006879,0.002368
0.200,0.400,0.010548,0.002332
0.400,0.600,0.023330,0.002329
0.600,0.800,0.045148,0.002341
0.800,1.000,0.066204,0.002353
1.000,1.200,0.088317,0.002377
1.200,1.400,0.079762,0.002330
1.400,1.600,0.071973,0.002352
1.600,1.800,0.058161,0.002477
1.800,2.000,0.036147,0.002459
2.000,2.200,0.014765,0.002506
2.200,2.400,0.000630,0.002461
