tau_lo_s,tau_hi_s,h_ua,h_err_ua
-0.800,-0.600,0.002158,0.007984
-0.600,-0.400,-0.000773,0.007833
-0.400,-0.200,-0.001529,0.008023
-0.200,-0.000,0.007397,0.008069
-0.000,0.200,0.020125,0.007633
0.200,0.400,0.029365,0.007518
0.400,0.600,0.074691,0.007508
0.600,0.800,0.141276,0.007547
0.800,1.000,0.224763,0.007584
1.000,1.200,0.304612,0.007661
1.200,1.400,0.294148,0.007510
1.400,1.600,0.278076,0.007583
1.600,1.800,0.233319,0.007985
1.800,2.000,0.163028,0.007925
2.000,2.200,0.086990,0.008078
2.200,2.400,0.033892,0.007932
