tau_lo_s,tau_hi_s,h_ua,h_err_ua
-0.800,-0.600,0.000000,0.000000
-0.600,-0.400,0.000000,0.000000
-0.400,-0.200,0.000000,0.000000
-0.200,-0.000,0.000000,0.000000
-0.000,0.200,0.000000,0.000000
0.200,0.400,0.000000,0.000000
0.400,0.600,0.000000,0.000000
0.600,0.800,0.000000,0.000000
0.800,1.000,0.000000,0.000000
1.000,1.200,0.000000,0.000000
1.200,1.400,0.000000,0.000000
1.400,1.600,0.000000,0.000000
1.600,1.800,0.000000,0.000000
1.800,2.000,0.000000,0.000000
2.000,2.200,0.000000,0.000000
2.200,2.400,0.000000,0.000000
