det,band,resist,n_2d,n_clean,n_trig,rate_pct,err_pct,clean_pct
A,1-4 ms,520,17,8,5719,0.2972547648190243,0.07209487018041022,0.1398845952089526
A,1-4 ms,525,29,10,5820,0.49828178694158076,0.09252860493358255,0.1718213058419244
A,1-4 ms,530,37,18,6398,0.578305720537668,0.09507287480928758,0.28133791809940606
A,1-4 ms,535,31,10,6389,0.4852089528877759,0.08714610052950417,0.15651901706057286
A,1-4 ms,540,33,13,6317,0.5223998733576064,0.09093814542564554,0.20579388950451163
A,1-4 ms,545,23,8,6392,0.3598247809762203,0.07502865336847182,0.1251564455569462
A,1-4 ms,550,15,6,5177,0.2897430944562488,0.07481134530051027,0.11589723778249952
A,4-8 ms,520,3,3,5882,0.05100306018361102,0.029446630526502503,0.05100306018361102
A,4-8 ms,525,13,13,5977,0.21750041827003513,0.06032376234672895,0.21750041827003513
A,4-8 ms,530,14,12,6546,0.21387106630003055,0.05715944678848062,0.18331805682859761
A,4-8 ms,535,30,17,6570,0.45662100456621,0.08336720814386091,0.258751902587519
A,4-8 ms,540,84,45,6481,1.2960962814380497,0.1414156980390631,0.6943372936275266
A,4-8 ms,545,62,28,6557,0.9455543693762392,0.1200855249963674,0.42702455391184996
A,4-8 ms,550,21,13,5305,0.39585296889726673,0.08638219971641546,0.24505183788878418
A,8-20 ms,520,5,5,16900,0.029585798816568046,0.013231171464495798,0.029585798816568046
A,8-20 ms,525,7,7,17047,0.04106294362644453,0.015520333847976716,0.04106294362644453
A,8-20 ms,530,12,12,18837,0.06370441153049848,0.01838987957285,0.06370441153049848
A,8-20 ms,535,22,21,18814,0.11693419793770596,0.024930454766787655,0.11161900712235569
A,8-20 ms,540,57,47,18514,0.30787512152965324,0.04077905604013584,0.2538619423139246
A,8-20 ms,545,128,103,18803,0.6807424347178642,0.0601696989788053,0.5477849279370314
A,8-20 ms,550,195,137,15360,1.26953125,0.09091302111828738,0.8919270833333334
A,20-81 ms,520,4,4,30280,0.013210039630118891,0.0066050198150594455,0.013210039630118891
A,20-81 ms,525,4,3,29914,0.013371665440930668,0.006685832720465334,0.010028749080698
A,20-81 ms,530,11,11,33588,0.032749791592235324,0.009874433697616411,0.032749791592235324
A,20-81 ms,535,44,44,33471,0.13145708225030622,0.01981790081177975,0.13145708225030622
A,20-81 ms,540,105,103,33503,0.31340476972211445,0.03058517376342297,0.3074351550607408
A,20-81 ms,545,218,215,33769,0.6455624981491901,0.04372300944722497,0.6366786105599811
A,20-81 ms,550,325,316,28105,1.1563778687066357,0.06414430306820831,1.1243550969578366
B,1-4 ms,520,5,5,5719,0.08742787200559539,0.03909893298653243,0.08742787200559539
B,1-4 ms,525,3,2,5820,0.05154639175257732,0.02976032315410442,0.03436426116838488
B,1-4 ms,530,0,0,6398,0.0,0.01562988433885589,0.0
B,1-4 ms,535,5,5,6389,0.07825950853028643,0.034998716191889025,0.07825950853028643
B,1-4 ms,540,9,9,6317,0.14247269273389268,0.04749089757796422,0.14247269273389268
B,1-4 ms,545,5,5,6392,0.07822277847309136,0.0349822900109479,0.07822277847309136
B,1-4 ms,550,9,8,5177,0.17384585667374927,0.05794861889124976,0.15452965037666602
B,4-8 ms,520,2,2,5882,0.034002040122407345,0.0240430731447313,0.034002040122407345
B,4-8 ms,525,3,3,5977,0.05019240421616195,0.02897859808547561,0.05019240421616195
B,4-8 ms,530,8,8,6546,0.12221203788573175,0.04320848036581409,0.12221203788573175
B,4-8 ms,535,7,7,6570,0.106544901065449,0.04027018738302269,0.106544901065449
B,4-8 ms,540,5,4,6481,0.0771485881808363,0.03450189750809736,0.061718870544669034
B,4-8 ms,545,10,8,6557,0.15250876925423212,0.048227507399243245,0.1220070154033857
B,4-8 ms,550,15,12,5305,0.2827521206409048,0.07300628362313698,0.22620169651272384
B,8-20 ms,520,4,4,16900,0.023668639053254437,0.011834319526627219,0.023668639053254437
B,8-20 ms,525,7,7,17047,0.04106294362644453,0.015520333847976716,0.04106294362644453
B,8-20 ms,530,2,2,18837,0.010617401921749748,0.007507636897452328,0.010617401921749748
B,8-20 ms,535,13,11,18814,0.06909748059955352,0.01916419302362065,0.05846709896885298
B,8-20 ms,540,19,18,18514,0.10262504050988441,0.023543798982071266,0.09722372258831155
B,8-20 ms,545,22,21,18803,0.11700260596713291,0.024945039407665955,0.11168430569589959
B,8-20 ms,550,32,29,15360,0.20833333333333334,0.03682847818679935,0.18880208333333334
B,20-81 ms,520,7,6,30280,0.023117569352708058,0.008737619917650563,0.019815059445178335
B,20-81 ms,525,6,5,29914,0.020057498161396,0.008188439335371993,0.016714581801163336
B,20-81 ms,530,10,9,33588,0.02977253781112302,0.009414903120663272,0.02679528403001072
B,20-81 ms,535,9,9,33471,0.026888948642108095,0.008962982880702698,0.026888948642108095
B,20-81 ms,540,47,46,33503,0.1402859445422798,0.02046280810793375,0.13730113721159298
B,20-81 ms,545,56,55,33769,0.16583256833190205,0.022160309080955558,0.16287127246883237
B,20-81 ms,550,76,73,28105,0.27041451698985947,0.031018672432241053,0.2597402597402597
C,1-4 ms,520,6,6,5719,0.10491344640671446,0.042830735142213285,0.10491344640671446
C,1-4 ms,525,5,3,5820,0.0859106529209622,0.03842041198453247,0.05154639175257732
C,1-4 ms,530,7,7,6398,0.10940919037199125,0.04135278698131589,0.10940919037199125
C,1-4 ms,535,4,4,6389,0.06260760682422914,0.03130380341211457,0.06260760682422914
C,1-4 ms,540,2,2,6317,0.031660598385309484,0.02238742381467619,0.031660598385309484
