    run  bunches     beam   beam%  protons_1e12     mean_I      state
---------------------------------------------------------------------
 224688     2910     2906    99.9       21538.9   7.41e+12       beam
 224689      274      260    94.9        1989.3   7.65e+12       beam
 224690     2930     2929   100.0       21257.7   7.26e+12       beam
 224691     2925     2922    99.9       21033.2    7.2e+12       beam
 224692     3050     2988    98.0       22545.4   7.55e+12       beam
 224693     2866     2616    91.3       20071.4   7.67e+12       beam
 224694      840      837    99.6        6704.8   8.01e+12       beam
 224695     2695     2516    93.4       20065.4   7.98e+12       beam
 224696     2739     2694    98.4       20470.6    7.6e+12       beam
 224697     2800     2800   100.0       20307.6   7.25e+12       beam
 224698     3023     3017    99.8       20388.2   6.76e+12       beam
 224699     2967     2960    99.8       20025.1   6.77e+12       beam
 224700     4494     4483    99.8       31332.6   6.99e+12       beam
 224706     2615        0     0.0           0.0          0    NO BEAM
 224716        4        0     0.0           0.0          0    NO BEAM
 224717        8        0     0.0           0.0          0    NO BEAM
 224718       16        0     0.0           0.0          0    NO BEAM

wrote beam_state.json
