run,off_state,off_parts,off_contiguous,run_first,run_last,off_reach,ours_prod,ours_state,ours_parts,ours_reach,merged_bytes
224264,COVERED,1,True,1,2,,,ABSENT,0,,25909
224265,COVERED,1,True,1,3,,,ABSENT,0,,26117
224266,COVERED,30,True,1,2351,,,ABSENT,0,,49320592
224267,COVERED,14,True,1,1051,,,ABSENT,0,,24559012
224268,COVERED,1,True,1,48,,,ABSENT,0,,890332
224269,COVERED,3,True,1,184,,,ABSENT,0,,2904739
224270,COVERED,39,True,1,3065,,,ABSENT,0,,65883130
224271,COVERED,49,True,1,3917,,,ABSENT,0,,84504281
224272,COVERED,47,True,1,3729,,,ABSENT,0,,76772668
224273,COVERED,37,True,1,2933,,,ABSENT,0,,52838983
224274,COVERED,33,True,1,2584,,,ABSENT,0,,57231046
224275,COVERED,2,True,1,122,,,ABSENT,0,,2856821
224276,COVERED,1,True,1,79,,,ABSENT,0,,294964
224277,COVERED,37,True,1,2919,,,ABSENT,0,,65731167
224278,COVERED,18,True,1,1430,,,ABSENT,0,,31650571
224279,COVERED,40,True,1,3129,,,ABSENT,0,,67673172
224280,COVERED,39,True,1,3108,,,ABSENT,0,,65901807
224281,COVERED,43,True,1,3390,,,ABSENT,0,,72941244
224282,COVERED,39,True,1,3046,,,ABSENT,0,,67463006
224283,COVERED,21,True,1,1641,,,ABSENT,0,,33989093
224284,COVERED,46,True,1,3619,,,ABSENT,0,,72216960
224285,COVERED,19,True,1,1475,,,ABSENT,0,,30138074
224286,COVERED,2,True,1,139,,,ABSENT,0,,2858218
224287,COVERED,3,True,1,173,,,ABSENT,0,,3547288
224288,COVERED,42,True,1,3300,,,ABSENT,0,,66839155
224289,COVERED,44,True,1,3482,,,ABSENT,0,,70400081
224290,COVERED,42,True,1,3319,,,ABSENT,0,,67399558
224291,COVERED,29,True,1,2248,,,ABSENT,0,,47377738
224292,COVERED,41,True,1,3242,,,ABSENT,0,,66263000
224293,COVERED,39,True,1,3114,,,ABSENT,0,,64498944
224294,COVERED,22,True,1,1735,,,ABSENT,0,,36021181
224295,COVERED,27,True,1,2091,,,ABSENT,0,,42704512
224296,COVERED,31,True,1,2413,,,ABSENT,0,,51346759
224297,COVERED,19,True,1,629,,,ABSENT,0,,13578835
224298,COVERED,1,True,1,45,,,ABSENT,0,,1004931
224299,COVERED,4,True,1,280,,,ABSENT,0,,5940006
224300,COVERED,1,True,1,8,,,ABSENT,0,,183294
224301,COVERED,27,True,1,2086,,,ABSENT,0,,44403701
224302,COVERED,16,True,1,3067,,,ABSENT,0,,65322244
224303,COVERED,39,True,1,3103,,,ABSENT,0,,65693533
224304,COVERED,16,True,1,3094,,,ABSENT,0,,65932941
224305,COVERED,32,True,1,2535,,,ABSENT,0,,53978978
224306,COVERED,37,True,1,2903,,,ABSENT,0,,63162831
224307,COVERED,22,True,1,1743,,,ABSENT,0,,39104914
224308,COVERED,42,True,1,3356,,,ABSENT,0,,69729793
224309,COVERED,34,True,1,2682,,,ABSENT,0,,57074400
224310,COVERED,40,True,1,3144,,,ABSENT,0,,66023585
224311,COVERED,26,True,1,2015,,,ABSENT,0,,40769748
224312,COVERED,44,True,1,3456,,,ABSENT,0,,65649734
224313,COVERED,40,True,1,3136,,,ABSENT,0,,66541539
224314,COVERED,20,True,1,1536,,,ABSENT,0,,33387621
224315,COVERED,37,True,1,2925,,,ABSENT,0,,62838495
224316,COVERED,40,True,1,3168,,,ABSENT,0,,66299978
224317,COVERED,7,True,1,558,,,ABSENT,0,,9475886
224318,COVERED,45,True,1,3566,,,ABSENT,0,,66370322
224319,COVERED,42,True,1,3320,,,ABSENT,0,,65710735
224320,COVERED,45,True,1,3544,,,ABSENT,0,,65684048
224321,COVERED,40,True,1,3162,,,ABSENT,0,,64995798
224322,COVERED,7,True,1,538,,,ABSENT,0,,12521058
224323,COVERED,1,True,1,15,,,ABSENT,0,,27236
224324,COVERED,52,True,1,4131,,,ABSENT,0,,2458167
224325,COVERED,66,True,1,5277,,,ABSENT,0,,3193406
224326,COVERED,41,True,1,3243,,,ABSENT,0,,64477461
224327,COVERED,44,True,1,3444,,,ABSENT,0,,67606467
224328,COVERED,46,True,1,3611,,,ABSENT,0,,65151892
224329,COVERED,28,True,1,2167,,,ABSENT,0,,32253402
224330,COVERED,1,True,1,13,13,,ABSENT,0,,56363
224331,COVERED,1,True,1,7,7,,ABSENT,0,,61468
224332,COVERED,1,True,1,4,4,,ABSENT,0,,56591
224333,COVERED,1,True,1,13,13,,ABSENT,0,,57361
224334,COVERED,1,True,1,11,11,,ABSENT,0,,56192
224335,COVERED,1,True,1,4,4,,ABSENT,0,,57313
224336,COVERED,1,True,1,4,4,,ABSENT,0,,71677
224337,COVERED,1,True,1,4,4,,ABSENT,0,,64357
224338,COVERED,1,True,1,3,3,,ABSENT,0,,62889
224339,COVERED,1,True,1,4,4,,ABSENT,0,,67114
224341,COVERED,1,True,1,4,4,,ABSENT,0,,17545101
224342,COVERED,1,True,1,3,3,,ABSENT,0,,8260038
224343,COVERED,1,True,1,8,8,,ABSENT,0,,2008431
224344,COVERED,1,True,1,3,3,,ABSENT,0,,119740
224345,COVERED,38,True,1,3033,3033,,ABSENT,0,,7469742268
224346,COVERED,39,True,1,3085,3085,,ABSENT,0,,8730228694
224347,COVERED,42,True,1,3356,3356,,ABSENT,0,,9305556695
224348,COVERED,48,True,1,3788,3788,,ABSENT,0,,6279098408
224349,COVERED,30,True,1,2381,2381,,ABSENT,0,,3500485777
224350,COVERED,1,True,1,57,57,,ABSENT,0,,172336949
224351,COVERED,31,True,1,2427,2427,,ABSENT,0,,7854260692
224352,COVERED,2,True,1,99,99,,ABSENT,0,,208714659
224353,COVERED,6,True,1,471,471,,ABSENT,0,,1006706013
224354,COVERED,6,True,1,1194,1194,,ABSENT,0,,2232530673
224355,COVERED,47,True,1,3708,3708,,ABSENT,0,,11362823196
224356,COVERED,43,True,1,3412,3412,,ABSENT,0,,11398077863
224357,COVERED,42,True,1,3286,3286,,ABSENT,0,,10408147275
224358,COVERED,41,True,1,3269,3269,,ABSENT,0,,9701937506
224359,COVERED,18,True,1,3426,3426,,ABSENT,0,,10370590575
224360,COVERED,7,True,1,549,549,,ABSENT,0,,1802955550
224361,COVERED,41,True,1,3228,3228,,ABSENT,0,,14497213432
224362,COVERED,43,True,1,3379,3379,,ABSENT,0,,14268825486
224363,COVERED,46,True,1,3672,3672,,ABSENT,0,,15572325808
224364,COVERED,9,True,1,674,674,,ABSENT,0,,2905706660
224365,COVERED,43,True,1,3422,3422,,ABSENT,0,,14863707881
224366,COVERED,43,True,1,3419,3419,,ABSENT,0,,14440831519
224367,COVERED,43,True,1,3374,3374,,ABSENT,0,,13946545833
224368,COVERED,48,True,1,3764,3764,,ABSENT,0,,16022280721
224369,COVERED,42,True,1,3328,3328,,ABSENT,0,,15591700467
224370,COVERED,40,True,1,3166,3166,,ABSENT,0,,11816156330
224371,COVERED,51,True,1,4028,4028,,ABSENT,0,,15279270667
224372,COVERED,51,True,1,4004,4004,,ABSENT,0,,18971334376
224373,COVERED,40,True,1,3133,3133,,ABSENT,0,,14727195024
224374,COVERED,41,True,1,3221,3221,,ABSENT,0,,14361290721
224375,COVERED,17,True,1,3319,3319,,ABSENT,0,,14601068195
224376,COVERED,16,True,1,3122,3122,,ABSENT,0,,15550857200
224377,COVERED,11,True,1,880,880,,ABSENT,0,,3552367648
224379,COVERED,1,True,1,44,44,,ABSENT,0,,168896378
224380,COVERED,1,True,1,7,7,,ABSENT,0,,5755846
224381,COVERED,11,True,1,802,802,,ABSENT,0,,4188499902
224382,COVERED,2,True,1,95,95,,ABSENT,0,,80254241
224383,COVERED,1,True,1,4,4,,ABSENT,0,,5006275
224384,COVERED,1,True,1,4,4,,ABSENT,0,,2623282
224385,COVERED,1,True,1,4,4,,ABSENT,0,,4277129
224386,COVERED,1,True,1,4,4,,ABSENT,0,,3792068
224387,COVERED,1,True,1,4,4,,ABSENT,0,,5723422
224388,COVERED,1,True,1,4,4,,ABSENT,0,,11926253
224389,COVERED,1,True,1,4,4,,ABSENT,0,,9322890
224390,COVERED,1,True,1,6,6,,ABSENT,0,,2387481
224391,COVERED,1,True,1,6,6,,ABSENT,0,,1453090
224392,COVERED,1,True,1,4,4,,ABSENT,0,,1850858
224393,COVERED,1,True,1,5,5,,ABSENT,0,,2920291
224394,COVERED,1,True,1,5,5,,ABSENT,0,,2090576
224398,COVERED,1,True,1,4,4,,ABSENT,0,,3255550
224399,COVERED,1,True,1,37,37,,ABSENT,0,,25508259
224400,COVERED,2,True,1,89,89,,ABSENT,0,,1278523133
224401,COVERED,32,True,1,2558,2558,,ABSENT,0,,22359721964
224402,COVERED,45,True,1,3591,3591,,ABSENT,0,,30300800624
224403,COVERED,40,True,1,3170,3170,,ABSENT,0,,21269838916
224404,COVERED,48,True,1,3792,3792,,ABSENT,0,,27275299360
224405,COVERED,17,True,1,3234,3234,,ABSENT,0,,0
224406,COVERED,39,True,1,3093,3093,,ABSENT,0,,27869424188
224407,COVERED,14,True,1,1102,1102,,ABSENT,0,,11383686132
224408,COVERED,1,True,1,11,11,,ABSENT,0,,2123706
224409,COVERED,1,True,1,5,5,,ABSENT,0,,714154
224410,COVERED,1,True,1,4,4,,ABSENT,0,,560947
224411,COVERED,1,True,1,5,5,,ABSENT,0,,577885
224412,COVERED,1,True,1,5,5,,ABSENT,0,,646936
224413,COVERED,1,True,1,5,5,,ABSENT,0,,620053
224414,COVERED,1,True,1,5,5,,ABSENT,0,,630300
224415,COVERED,1,True,1,5,5,,ABSENT,0,,627981
224416,COVERED,1,True,1,5,5,,ABSENT,0,,593798
224417,COVERED,1,True,1,5,5,,ABSENT,0,,618519
224418,COVERED,1,True,1,5,5,,ABSENT,0,,648075
224419,COVERED,1,True,1,5,5,,ABSENT,0,,588912
224420,COVERED,1,True,1,4,4,,ABSENT,0,,513988
224421,COVERED,1,True,1,4,4,,ABSENT,0,,478509
224422,COVERED,1,True,1,5,5,,ABSENT,0,,258043
224423,COVERED,1,True,1,4,4,,ABSENT,0,,201613
224424,COVERED,1,True,1,4,4,,ABSENT,0,,461037
224425,COVERED,1,True,1,4,4,,ABSENT,0,,518633
224426,COVERED,1,True,1,4,4,,ABSENT,0,,233536
224427,COVERED,1,True,1,6,6,,ABSENT,0,,515819
224428,COVERED,1,True,1,5,5,,ABSENT,0,,460049
224429,COVERED,1,True,1,9,9,,ABSENT,0,,776402
224430,COVERED,1,True,1,6,6,,ABSENT,0,,303893
224431,COVERED,1,True,1,5,5,,ABSENT,0,,364212
224432,COVERED,1,True,1,5,5,,ABSENT,0,,8071023
224433,COVERED,1,True,1,4,4,,ABSENT,0,,174375
224434,COVERED,1,True,1,5,5,,ABSENT,0,,137437
224435,COVERED,1,True,1,4,4,,ABSENT,0,,94046
224436,COVERED,1,True,1,4,4,,ABSENT,0,,154767
224437,COVERED,1,True,1,4,4,,ABSENT,0,,238810
224438,COVERED,1,True,1,3,3,,ABSENT,0,,258140
224439,COVERED,1,True,1,3,3,,ABSENT,0,,235227
224440,COVERED,2,True,1,101,101,,ABSENT,0,,6173837
224441,COVERED,1,True,1,25,25,,ABSENT,0,,507872
224442,COVERED,1,True,1,4,4,,ABSENT,0,,320068
224443,COVERED,1,True,1,5,5,,ABSENT,0,,467851
224444,COVERED,1,True,1,3,3,,ABSENT,0,,264315
224445,COVERED,1,True,1,4,4,,ABSENT,0,,418085
224446,COVERED,1,True,1,4,4,,ABSENT,0,,445849
224447,COVERED,1,True,1,4,4,,ABSENT,0,,437609
224448,COVERED,1,True,1,4,4,,ABSENT,0,,424607
224449,COVERED,1,True,1,4,4,,ABSENT,0,,433063
224450,COVERED,5,True,1,294,294,,ABSENT,0,,6595180268
224451,COVERED,51,True,1,4007,4007,,ABSENT,0,,-1
224452,COVERED,53,True,1,4144,4144,,ABSENT,0,,-1
224453,COVERED,54,True,1,4223,4223,,ABSENT,0,,-1
224454,SHORT,38,False,1,2994,2994,,ABSENT,0,,-1
224455,COVERED,9,True,1,709,709,,ABSENT,0,,1299612943
224456,COVERED,1,True,1,55,55,,ABSENT,0,,508411035
224457,COVERED,36,True,1,2867,2867,,ABSENT,0,,26436101568
224458,COVERED,39,True,1,3054,3054,,ABSENT,0,,27976713722
224459,COVERED,42,True,1,3317,3317,,ABSENT,0,,26888216305
224460,COVERED,51,True,1,4005,4005,,ABSENT,0,,33832301042
224461,ABSENT,0,True,,,,,ABSENT,0,,-1
224462,COVERED,35,True,1,2797,2797,,ABSENT,0,,26683701801
224463,COVERED,9,True,1,717,717,,ABSENT,0,,6231847614
224464,COVERED,34,True,1,2716,2716,,ABSENT,0,,26225408740
224466,COVERED,11,True,1,2101,2101,,ABSENT,0,,23437902077
224467,COVERED,9,True,1,675,675,,ABSENT,0,,5758107546
224468,COVERED,16,True,1,1231,1231,,ABSENT,0,,2184061421
224469,COVERED,1,True,1,48,48,,ABSENT,0,,47962762
224470,COVERED,44,True,1,3518,3518,,ABSENT,0,,16337447272
224471,COVERED,10,True,1,1957,1957,,ABSENT,0,,8735940063
224472,COVERED,51,True,1,4023,4023,,ABSENT,0,,99318545
224473,COVERED,45,True,1,3560,3560,,ABSENT,0,,15708111622
224474,COVERED,22,True,1,1735,1735,,ABSENT,0,,7726620828
224476,COVERED,19,True,1,1507,1507,,ABSENT,0,,411055759
224477,COVERED,19,True,1,1502,1502,,ABSENT,0,,552732293
224478,COVERED,19,True,1,1501,1501,,ABSENT,0,,477533413
224479,COVERED,19,True,1,1503,1503,,ABSENT,0,,566429571
224480,COVERED,1,True,1,28,28,,ABSENT,0,,13080208
224481,COVERED,42,True,1,3308,3308,,ABSENT,0,,26093503997
224482,COVERED,1,True,1,54,54,,ABSENT,0,,212596342
224483,COVERED,1,True,1,42,42,,ABSENT,0,,101964148
224484,COVERED,1,True,1,15,15,,ABSENT,0,,451164
224485,COVERED,1,True,1,21,21,,ABSENT,0,,411781
224486,COVERED,1,True,1,21,21,,ABSENT,0,,620731
224487,COVERED,1,True,1,21,21,,ABSENT,0,,520418
224488,COVERED,3,True,1,125,125,,ABSENT,0,,1293744117
224489,COVERED,22,True,1,1750,1750,,ABSENT,0,,19707418719
224490,COVERED,30,True,1,2328,2328,,ABSENT,0,,22630631982
224491,COVERED,30,True,1,2390,2390,,ABSENT,0,,25272850870
224492,COVERED,16,True,1,3014,3014,,ABSENT,0,,31578230290
224493,COVERED,16,True,1,3142,3142,,ABSENT,0,,31794048634
224494,COVERED,32,True,1,2540,2540,,ABSENT,0,,24798267380
224495,COVERED,1,True,1,5,5,,ABSENT,0,,1326137
224496,COVERED,1,True,1,2,2,,ABSENT,0,,662076
224498,COVERED,42,True,1,2287,3281,,ABSENT,0,,32135047028
224499,ABSENT,0,True,,,,,ABSENT,0,,-1
224500,COVERED,43,True,1,3420,3420,,ABSENT,0,,34273737854
224501,COVERED,41,True,1,3207,3207,,ABSENT,0,,31907994054
224502,COVERED,43,True,1,3377,3377,,ABSENT,0,,33955149584
224503,COVERED,42,True,1,3349,3349,,ABSENT,0,,33706219151
224504,COVERED,42,True,1,3294,3294,,ABSENT,0,,33251118633
224505,COVERED,40,True,1,3175,3175,,ABSENT,0,,31974970817
224506,COVERED,41,True,1,3219,3219,,ABSENT,0,,32468137781
224507,COVERED,17,True,1,3241,3241,,ABSENT,0,,32261326813
224508,ABSENT,0,True,,,,,ABSENT,0,,-1
224509,COVERED,45,True,1,3565,3565,,ABSENT,0,,35870672980
224510,COVERED,42,True,1,3338,3338,,ABSENT,0,,33099600103
224511,COVERED,33,True,1,2584,2584,,ABSENT,0,,25875722243
224512,COVERED,6,True,1,452,452,,ABSENT,0,,4653841299
224513,COVERED,27,True,1,2138,2138,,ABSENT,0,,21754189176
224514,COVERED,1,True,1,3,3,,ABSENT,0,,4440976
224515,COVERED,1,True,1,4,4,,ABSENT,0,,174004
224516,COVERED,44,True,1,3473,3473,,ABSENT,0,,31511324364
224517,COVERED,43,True,1,3373,3373,,ABSENT,0,,33729021836
224518,COVERED,46,True,1,3652,3652,,ABSENT,0,,36364054610
224519,COVERED,44,True,1,3488,3488,,ABSENT,0,,34738049985
224520,COVERED,40,True,1,3154,3154,,ABSENT,0,,31736275676
224521,COVERED,40,True,1,3177,3177,,ABSENT,0,,31961240685
224522,COVERED,3,True,1,437,437,,ABSENT,0,,4381081635
224523,COVERED,4,True,1,293,293,,ABSENT,0,,2673219247
224524,COVERED,37,True,1,2946,2946,,ABSENT,0,,27912446537
224525,COVERED,46,True,1,3631,3631,,ABSENT,0,,32718507836
224526,SHORT,6,True,1,3324,3240,,ABSENT,0,,4041089083
224527,COVERED,42,True,1,3329,3329,,ABSENT,0,,27399798809
224528,COVERED,44,True,1,3493,3493,,ABSENT,0,,26602894986
224529,COVERED,48,True,1,3818,3818,,ABSENT,0,,27448015780
224530,COVERED,1,True,1,63,63,,ABSENT,0,,813089586
224531,COVERED,9,True,1,652,652,,ABSENT,0,,7763996085
224532,COVERED,1,True,1,32,32,,ABSENT,0,,98314747
224533,COVERED,35,True,1,2791,2791,,ABSENT,0,,25884677983
224534,COVERED,25,True,1,1984,1984,,ABSENT,0,,18119279698
224535,COVERED,1,True,1,1,1,,ABSENT,0,,35525756
224536,COVERED,1,True,1,2,2,,ABSENT,0,,137664
224537,COVERED,2,True,1,385,385,,ABSENT,0,,2950877683
224538,COVERED,7,True,1,556,556,,ABSENT,0,,5122083104
224539,COVERED,35,True,1,2784,2784,,ABSENT,0,,26219116057
224540,COVERED,38,True,1,3008,3008,,ABSENT,0,,32954476610
224541,COVERED,35,True,1,2725,2725,,ABSENT,0,,30387829139
224542,COVERED,15,True,1,2931,2931,,ABSENT,0,,32696712091
224543,COVERED,36,True,1,2841,2841,,ABSENT,0,,34330863160
224544,COVERED,17,True,1,1328,1328,,ABSENT,0,,15939030062
224545,COVERED,35,True,1,2729,2729,,ABSENT,0,,32479090417
224546,COVERED,33,True,1,2623,2623,,ABSENT,0,,30981509409
224547,COVERED,33,True,1,2631,2631,,ABSENT,0,,31604334539
224548,COVERED,33,True,1,2588,2588,,ABSENT,0,,31322388035
224549,ABSENT,0,True,,,,,ABSENT,0,,-1
224550,COVERED,17,True,1,1310,1310,,ABSENT,0,,16187785465
224551,COVERED,12,True,1,2382,2382,,ABSENT,0,,30077634261
224552,COVERED,6,True,1,412,412,,ABSENT,0,,4961400051
224553,COVERED,10,True,1,730,730,,ABSENT,0,,8818166592
224554,COVERED,29,True,1,2291,2291,,ABSENT,0,,26790730653
224555,COVERED,16,True,1,1225,1225,,ABSENT,0,,13959783589
224556,COVERED,35,True,1,2739,2739,,ABSENT,0,,31461223315
224557,COVERED,34,True,1,2654,2654,,ABSENT,0,,31519118888
224558,COVERED,34,True,1,2656,2656,,ABSENT,0,,31538592153
224559,COVERED,34,True,1,2713,2713,,ABSENT,0,,32040423057
224560,COVERED,40,True,1,3186,3186,,ABSENT,0,,31820642731
224561,COVERED,40,True,1,3172,3172,,ABSENT,0,,33734119698
224562,COVERED,42,True,1,3334,3334,,ABSENT,0,,33651848311
224563,COVERED,45,True,1,3523,3523,,ABSENT,0,,33855125695
224564,COVERED,38,True,1,2996,2996,,ABSENT,0,,31921404560
224565,ABSENT,0,True,,,,,ABSENT,0,,-1
224566,SHORT,4,False,1,1769,1600,,ABSENT,0,,18920274432
224567,COVERED,25,True,1,1966,1966,,ABSENT,0,,21102186902
224568,COVERED,37,True,1,2897,2897,,ABSENT,0,,30598647957
224569,MERGED_ONLY,0,True,,,,,ABSENT,0,,32199481248
224570,COVERED,39,True,1,3050,3050,,ABSENT,0,,32202622032
224571,COVERED,38,True,1,3006,3006,,ABSENT,0,,31777536248
224572,COVERED,38,True,1,3018,3018,,ABSENT,0,,32190934593
224573,COVERED,39,True,1,3118,3118,prod_v11,COVERED,16,3118,33008980125
224574,COVERED,38,True,1,3037,3037,prod_v11,COVERED,16,3037,32299038287
224575,COVERED,5,True,1,334,334,prod_v11,COVERED,2,334,3228178521
224576,ABSENT,0,True,,2991,,prod_v11,COVERED,15,2991,-1
224577,COVERED,42,True,1,3302,3302,prod_v11,COVERED,17,3302,33176881121
224578,COVERED,18,True,1,1404,1404,prod_v11,COVERED,8,1404,14415150420
224579,COVERED,1,True,1,3,3,prod_v11,COVERED,1,3,298387
224580,COVERED,16,True,1,1231,1231,,ABSENT,0,,11277927985
224581,COVERED,9,True,1,668,668,,ABSENT,0,,6773125669
224582,COVERED,2,True,1,368,368,,ABSENT,0,,3661571216
224583,COVERED,40,True,1,3159,3159,,ABSENT,0,,32174484328
224584,COVERED,40,True,1,3152,3152,,ABSENT,0,,32168063489
224585,COVERED,42,True,1,3295,3295,,ABSENT,0,,33472162941
224586,COVERED,40,True,1,3167,3167,,ABSENT,0,,33572631054
224587,COVERED,15,True,1,1125,1125,,ABSENT,0,,12088903568
224588,COVERED,8,True,1,607,607,,ABSENT,0,,465483511
224589,COVERED,8,True,1,603,603,,ABSENT,0,,475924437
224590,COVERED,8,True,1,612,612,,ABSENT,0,,496088056
224591,COVERED,8,True,1,621,621,,ABSENT,0,,555081264
224592,COVERED,8,True,1,605,605,,ABSENT,0,,517043006
224593,COVERED,8,True,1,606,606,,ABSENT,0,,522462073
224594,COVERED,8,True,1,607,607,,ABSENT,0,,572077414
224595,COVERED,4,True,1,609,609,,ABSENT,0,,515416685
224596,COVERED,8,True,1,609,609,,ABSENT,0,,277721240
224597,COVERED,41,True,1,3214,3214,,ABSENT,0,,34747817243
224598,COVERED,18,True,1,1382,1382,,ABSENT,0,,14137607683
224599,COVERED,2,True,1,118,118,,ABSENT,0,,793973625
224600,COVERED,44,True,1,3494,3494,,ABSENT,0,,36064787396
224601,COVERED,45,True,1,3545,3545,,ABSENT,0,,36080155935
224602,COVERED,10,True,1,1810,1810,,ABSENT,0,,18059835379
224603,COVERED,39,True,1,3050,3050,,ABSENT,0,,29260197471
224604,COVERED,42,True,1,3346,3346,,ABSENT,0,,33296032884
224605,COVERED,18,True,1,1410,1410,,ABSENT,0,,13817064108
