    run  official  parts          bunches   reach      ours  parts   reach  merged
----------------------------------------------------------------------------------
 224264   COVERED      1              1-2       -         -      0       -     yes
 224265   COVERED      1              1-3       -         -      0       -     yes
 224266   COVERED     30           1-2351       -         -      0       -     yes
 224267   COVERED     14           1-1051       -         -      0       -     yes
 224268   COVERED      1             1-48       -         -      0       -     yes
 224269   COVERED      3            1-184       -         -      0       -     yes
 224270   COVERED     39           1-3065       -         -      0       -     yes
 224271   COVERED     49           1-3917       -         -      0       -     yes
 224272   COVERED     47           1-3729       -         -      0       -     yes
 224273   COVERED     37           1-2933       -         -      0       -     yes
 224274   COVERED     33           1-2584       -         -      0       -     yes
 224275   COVERED      2            1-122       -         -      0       -     yes
 224276   COVERED      1             1-79       -         -      0       -     yes
 224277   COVERED     37           1-2919       -         -      0       -     yes
 224278   COVERED     18           1-1430       -         -      0       -     yes
 224279   COVERED     40           1-3129       -         -      0       -     yes
 224280   COVERED     39           1-3108       -         -      0       -     yes
 224281   COVERED     43           1-3390       -         -      0       -     yes
 224282   COVERED     39           1-3046       -         -      0       -     yes
 224283   COVERED     21           1-1641       -         -      0       -     yes
 224284   COVERED     46           1-3619       -         -      0       -     yes
 224285   COVERED     19           1-1475       -         -      0       -     yes
 224286   COVERED      2            1-139       -         -      0       -     yes
 224287   COVERED      3            1-173       -         -      0       -     yes
 224288   COVERED     42           1-3300       -         -      0       -     yes
 224289   COVERED     44           1-3482       -         -      0       -     yes
 224290   COVERED     42           1-3319       -         -      0       -     yes
 224291   COVERED     29           1-2248       -         -      0       -     yes
 224292   COVERED     41           1-3242       -         -      0       -     yes
 224293   COVERED     39           1-3114       -         -      0       -     yes
 224294   COVERED     22           1-1735       -         -      0       -     yes
 224295   COVERED     27           1-2091       -         -      0       -     yes
 224296   COVERED     31           1-2413       -         -      0       -     yes
 224297   COVERED     19            1-629       -         -      0       -     yes
 224298   COVERED      1             1-45       -         -      0       -     yes
 224299   COVERED      4            1-280       -         -      0       -     yes
 224300   COVERED      1              1-8       -         -      0       -     yes
 224301   COVERED     27           1-2086       -         -      0       -     yes
 224302   COVERED     16           1-3067       -         -      0       -     yes
 224303   COVERED     39           1-3103       -         -      0       -     yes
 224304   COVERED     16           1-3094       -         -      0       -     yes
 224305   COVERED     32           1-2535       -         -      0       -     yes
 224306   COVERED     37           1-2903       -         -      0       -     yes
 224307   COVERED     22           1-1743       -         -      0       -     yes
 224308   COVERED     42           1-3356       -         -      0       -     yes
 224309   COVERED     34           1-2682       -         -      0       -     yes
 224310   COVERED     40           1-3144       -         -      0       -     yes
 224311   COVERED     26           1-2015       -         -      0       -     yes
 224312   COVERED     44           1-3456       -         -      0       -     yes
 224313   COVERED     40           1-3136       -         -      0       -     yes
 224314   COVERED     20           1-1536       -         -      0       -     yes
 224315   COVERED     37           1-2925       -         -      0       -     yes
 224316   COVERED     40           1-3168       -         -      0       -     yes
 224317   COVERED      7            1-558       -         -      0       -     yes
 224318   COVERED     45           1-3566       -         -      0       -     yes
 224319   COVERED     42           1-3320       -         -      0       -     yes
 224320   COVERED     45           1-3544       -         -      0       -     yes
 224321   COVERED     40           1-3162       -         -      0       -     yes
 224322   COVERED      7            1-538       -         -      0       -     yes
 224323   COVERED      1             1-15       -         -      0       -     yes
 224324   COVERED     52           1-4131       -         -      0       -     yes
 224325   COVERED     66           1-5277       -         -      0       -     yes
 224326   COVERED     41           1-3243       -         -      0       -     yes
 224327   COVERED     44           1-3444       -         -      0       -     yes
 224328   COVERED     46           1-3611       -         -      0       -     yes
 224329   COVERED     28           1-2167       -         -      0       -     yes
 224330   COVERED      1             1-13      13         -      0       -     yes
 224331   COVERED      1              1-7       7         -      0       -     yes
 224332   COVERED      1              1-4       4         -      0       -     yes
 224333   COVERED      1             1-13      13         -      0       -     yes
 224334   COVERED      1             1-11      11         -      0       -     yes
 224335   COVERED      1              1-4       4         -      0       -     yes
 224336   COVERED      1              1-4       4         -      0       -     yes
 224337   COVERED      1              1-4       4         -      0       -     yes
 224338   COVERED      1              1-3       3         -      0       -     yes
