run,raw_files,raw_GB,off_state,off_parts,off_GB,off_merged_bytes,off_header,off_recipe,ours_prod,ours_parts,ours_GB,ours_variant,ours_recipe,ours_all_productions
224264,0,0.0,MERGED,1,0.0,25909,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224265,0,0.0,MERGED,1,0.0,26117,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224266,0,0.0,MERGED,30,0.0,49320592,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224267,0,0.0,MERGED,14,0.0,24559012,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224268,0,0.0,MERGED,1,0.0,890332,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224269,10,0.9,MERGED,3,0.0,2904739,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224270,154,27.1,MERGED,39,0.1,65883130,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224271,0,0.0,MERGED,49,0.1,84504281,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224272,0,0.0,MERGED,47,0.1,76772668,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224273,0,0.0,MERGED,37,0.1,52838983,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224274,0,0.0,MERGED,33,0.1,57231046,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224275,0,0.0,MERGED,2,0.0,2856821,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224276,0,0.0,MERGED,1,0.0,294964,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224277,0,0.0,MERGED,37,0.1,65731167,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224278,0,0.0,MERGED,18,0.0,31650571,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224279,157,4.4,MERGED,40,0.1,67673172,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224280,0,0.0,MERGED,39,0.1,65901807,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224281,0,0.0,MERGED,43,0.1,72941244,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224282,0,0.0,MERGED,39,0.1,67463006,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224283,0,0.0,MERGED,21,0.0,33989093,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224284,0,0.0,MERGED,46,0.1,72216960,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224285,0,0.0,MERGED,19,0.0,30138074,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224286,0,0.0,MERGED,2,0.0,2858218,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224287,0,0.0,MERGED,3,0.0,3547288,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224288,0,0.0,MERGED,42,0.1,66839155,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224289,0,0.0,MERGED,44,0.1,70400081,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224290,0,0.0,MERGED,42,0.1,67399558,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224291,0,0.0,MERGED,29,0.0,47377738,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224292,0,0.0,MERGED,41,0.1,66263000,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224293,0,0.0,MERGED,39,0.1,64498944,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224294,87,2.7,MERGED,22,0.0,36021181,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224295,0,0.0,MERGED,27,0.0,42704512,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224296,0,0.0,MERGED,31,0.0,51346759,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224297,0,0.0,MERGED,19,0.0,13578835,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224298,0,0.0,MERGED,1,0.0,1004931,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224299,0,0.0,MERGED,4,0.0,5940006,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224300,0,0.0,MERGED,1,0.0,183294,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224301,0,0.0,MERGED,27,0.0,44403701,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224302,154,14.4,MERGED,16,0.1,65322244,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224303,0,0.0,MERGED,39,0.1,65693533,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224304,0,0.0,MERGED,16,0.1,65932941,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224305,0,0.0,MERGED,32,0.1,53978978,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224306,0,0.0,MERGED,37,0.1,63162831,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224307,0,0.0,MERGED,22,0.0,39104914,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224308,0,0.0,MERGED,42,0.1,69729793,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224309,0,0.0,MERGED,34,0.1,57074400,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224310,0,0.0,MERGED,40,0.1,66023585,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224311,0,0.0,MERGED,26,0.0,40769748,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224312,0,0.0,MERGED,44,0.1,65649734,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224313,0,0.0,MERGED,40,0.1,66541539,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224314,0,0.0,MERGED,20,0.0,33387621,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224315,0,0.0,MERGED,37,0.1,62838495,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224316,0,0.0,MERGED,40,0.1,66299978,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224317,0,0.0,MERGED,7,0.0,9475886,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224318,0,0.0,MERGED,45,0.1,66370322,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224319,0,0.0,MERGED,42,0.1,65710735,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224320,0,0.0,MERGED,45,0.1,65684048,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224321,0,0.0,MERGED,40,0.1,64995798,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224322,0,0.0,MERGED,7,0.0,12521058,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224323,0,0.0,MERGED,1,0.0,27236,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224324,0,0.0,MERGED,52,0.0,2458167,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224325,264,3.6,MERGED,66,0.0,3193406,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224326,0,0.0,MERGED,41,0.1,64477461,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224327,173,5.3,MERGED,44,0.1,67606467,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224328,0,0.0,MERGED,46,0.1,65151892,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224329,0,0.0,MERGED,28,0.0,32253402,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224330,0,0.0,MERGED,1,0.0,56363,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224331,0,0.0,MERGED,1,0.0,61468,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224332,0,0.0,MERGED,1,0.0,56591,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
224333,0,0.0,MERGED,1,0.0,57361,UserInput_2026_EAR2_X17_v4.h,35bf4b0a829d,,,,,,
