dream_run,sub_run,ntof_run,status,efficiency,overlap_frac,overlap_min,joined_bunches,joined_events,dropped_pulses,guard_fired,kind
run_100,stat090_0000,224600,OK,0.94738,0.970,59.2,1130,98584,2,0,whole
run_100,stat090_0001,224600,OK,0.94613,1.000,60.0,1154,100015,13,0,whole
run_100,stat090_0002,224600,OK,0.95284,1.000,61.0,945,85267,0,0,whole
run_100,stat090_0003,224600,SKIPPED_LOW_JOIN,,0.302,18.1,0,0,0,0,sliver
run_100,stat090_0003,224601,OK,0.95276,0.688,41.3,706,63052,0,0,sliver
run_100,stat090_0004,224601,OK,0.94718,1.000,60.0,1147,100691,0,0,whole
run_100,stat090_0005,224601,OK,0.94790,1.000,61.0,1146,100294,0,0,whole
run_100,stat090_0006,224601,FAILED,,0.465,27.9,323,28951,0,0,sliver
run_100,stat090_0006,224602,OK,0.94717,0.527,31.6,614,53613,0,0,sliver
run_100,stat090_0007,224602,OK,0.95214,1.000,61.0,1188,100819,58,0,whole
run_100,stat090_0008,224603,OK,0.95368,0.992,59.5,1230,99920,114,0,whole
run_100,stat090_0009,224603,OK,0.95626,1.000,61.0,1255,97800,186,0,whole
run_100,stat090_0010,224603,FAILED,,0.451,27.1,156,13775,6,1,sliver
run_100,stat090_0010,224604,OK,0.95151,0.541,32.5,661,57333,13,0,sliver
run_100,stat090_0011,224604,OK,0.95103,1.000,60.0,1219,104460,46,0,whole
run_100,stat090_0012,224604,OK,0.95044,1.000,61.0,1181,99294,64,0,whole
run_100,stat090_0013,224604,FAILED,,0.255,15.3,241,20622,5,1,sliver
run_100,stat090_0013,224605,OK,0.94302,0.719,43.1,769,66198,0,0,sliver
run_100,stat090_0014,224605,OK,0.94411,0.836,36.8,635,54546,1,0,sliver
run_102,stat090_0000,224606,OK,0.94495,0.991,59.5,1110,96543,3,0,whole
run_102,stat090_0001,224606,OK,0.94874,1.000,61.0,1150,102674,0,0,whole
run_102,stat090_0002,224606,OK,0.95033,0.867,52.0,985,88263,0,0,sliver
run_102,stat090_0002,224607,FAILED,,0.124,7.5,167,14837,1,1,sliver
run_102,stat090_0003,224607,FAILED,,1.000,44.0,635,51098,28,0,whole
run_104,stat090_0000,224614,OK,0.94542,0.931,56.8,1071,93063,0,0,sliver
run_104,stat090_0001,224614,OK,0.94361,1.000,60.0,1073,93879,0,0,whole
run_104,stat090_0002,224614,OK,0.94702,1.000,61.0,1120,97354,0,0,whole
run_104,stat090_0003,224614,FAILED,,0.407,24.4,324,27584,0,0,sliver
run_104,stat090_0003,224615,OK,0.94612,0.585,35.1,677,58713,1,0,sliver
run_104,stat090_0004,224615,OK,0.94671,1.000,60.0,1143,99453,0,0,whole
