run,state,nbunch,dA,dB,dC,dD,ampA,ampB,ampC,ampD,agree
224264,NO_WAL,2,,,,,,,,,
224265,NO_WAL,3,,,,,,,,,
224266,NO_WAL,2351,,,,,,,,,
224267,NO_WAL,1051,,,,,,,,,
224268,NO_WAL,48,,,,,,,,,
224269,NO_WAL,184,,,,,,,,,
224270,NO_WAL,3065,,,,,,,,,
224271,NO_WAL,3917,,,,,,,,,
224272,NO_WAL,3729,,,,,,,,,
224273,NO_WAL,2933,,,,,,,,,
224274,NO_WAL,2584,,,,,,,,,
224275,NO_WAL,122,,,,,,,,,
224276,NO_WAL,79,,,,,,,,,
224277,NO_WAL,2919,,,,,,,,,
224278,NO_WAL,1430,,,,,,,,,
224279,NO_WAL,3129,,,,,,,,,
224280,NO_WAL,3108,,,,,,,,,
224281,NO_WAL,3390,,,,,,,,,
224282,NO_WAL,3046,,,,,,,,,
224283,NO_WAL,1641,,,,,,,,,
224284,NO_WAL,3619,,,,,,,,,
224285,NO_WAL,1475,,,,,,,,,
224286,NO_WAL,139,,,,,,,,,
224287,NO_WAL,173,,,,,,,,,
224288,NO_WAL,3300,,,,,,,,,
224289,NO_WAL,3482,,,,,,,,,
224290,NO_WAL,3319,,,,,,,,,
224291,NO_WAL,2248,,,,,,,,,
224292,NO_WAL,3242,,,,,,,,,
224293,NO_WAL,3114,,,,,,,,,
224294,NO_WAL,1735,,,,,,,,,
224295,NO_WAL,2091,,,,,,,,,
224296,NO_WAL,2413,,,,,,,,,
224297,NO_WAL,629,,,,,,,,,
224298,NO_WAL,45,,,,,,,,,
224299,NO_WAL,280,,,,,,,,,
224300,NO_WAL,8,,,,,,,,,
224301,NO_WAL,2086,,,,,,,,,
224302,NO_WAL,3067,,,,,,,,,
224303,NO_WAL,3103,,,,,,,,,
224304,NO_WAL,3094,,,,,,,,,
224305,NO_WAL,2535,,,,,,,,,
224306,NO_WAL,2903,,,,,,,,,
224307,NO_WAL,1743,,,,,,,,,
224308,NO_WAL,3356,,,,,,,,,
224309,NO_WAL,2682,,,,,,,,,
224310,NO_WAL,3144,,,,,,,,,
224311,NO_WAL,2015,,,,,,,,,
224312,NO_WAL,3456,,,,,,,,,
224313,NO_WAL,1546,,,,,,,,,
224314,NO_WAL,1536,,,,,,,,,
224315,NO_WAL,2925,,,,,,,,,
224316,NO_WAL,3168,,,,,,,,,
224317,NO_WAL,558,,,,,,,,,
224318,NO_WAL,3566,,,,,,,,,
224319,NO_WAL,3320,,,,,,,,,
224320,NO_WAL,3544,,,,,,,,,
224321,NO_WAL,3162,,,,,,,,,
224322,NO_WAL,538,,,,,,,,,
224323,NO_WAL,15,,,,,,,,,
224324,NO_WAL,4131,,,,,,,,,
224325,NO_WAL,5277,,,,,,,,,
224326,NO_WAL,3243,,,,,,,,,
224327,NO_WAL,3444,,,,,,,,,
224328,NO_WAL,3611,,,,,,,,,
224329,NO_WAL,2167,,,,,,,,,
224330,NO_WAL,13,,,,,,,,,
224331,NO_WAL,7,,,,,,,,,
224332,NO_WAL,4,,,,,,,,,
224333,NO_WAL,13,,,,,,,,,
224334,NO_WAL,11,,,,,,,,,
224335,NO_WAL,4,,,,,,,,,
224336,NO_WAL,4,,,,,,,,,
224337,NO_WAL,4,,,,,,,,,
224338,NO_WAL,3,,,,,,,,,
224339,NO_WAL,4,,,,,,,,,
224341,NO_WAL,4,,,,,,,,,
224342,NO_WAL,3,,,,,,,,,
224343,NO_WAL,8,,,,,,,,,
