run,pi_med,PSSA_c_all,PSSA_sig,PSSA_n,PSSA_c_par,PSSA_n_par,PSSA_c_ded,PSSA_n_ded,PSSA_mult,PSSA_frac_found,PSSB_c_all,PSSB_sig,PSSB_n,PSSB_c_par,PSSB_n_par,PSSB_c_ded,PSSB_n_ded,PSSB_mult,PSSB_frac_found,PSSC_c_all,PSSC_sig,PSSC_n,PSSC_c_par,PSSC_n_par,PSSC_c_ded,PSSC_n_ded,PSSC_mult,PSSC_frac_found,PSSD_c_all,PSSD_sig,PSSD_n,PSSD_c_par,PSSD_n_par,PSSD_c_ded,PSSD_n_ded,PSSD_mult,PSSD_frac_found,LIQA_c_all,LIQA_sig,LIQA_n,LIQA_c_par,LIQA_n_par,LIQA_c_ded,LIQA_n_ded,LIQA_mult,LIQA_frac_found,LIQB_c_all,LIQB_sig,LIQB_n,LIQB_c_par,LIQB_n_par,LIQB_c_ded,LIQB_n_ded,LIQB_mult,LIQB_frac_found,LIQC_c_all,LIQC_sig,LIQC_n,LIQC_c_par,LIQC_n_par,LIQC_c_ded,LIQC_n_ded,LIQC_mult,LIQC_frac_found,LIQD_c_all,LIQD_sig,LIQD_n,LIQD_c_par,LIQD_n_par,LIQD_c_ded,LIQD_n_ded,LIQD_mult,LIQD_frac_found
224345,8.41e+12,-1641.53,19.14,1120,-1641.07,523,-1641.94,597,1.29,0.447,-1648.23,22.80,459,-1648.32,217,-1648.15,242,1.33,0.169,-1640.78,18.81,820,-1639.19,356,-1642.00,464,1.32,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224347,8.43e+12,-1643.63,20.54,1060,-1642.62,469,-1644.44,591,1.32,0.434,-1647.52,22.91,451,-1648.81,219,-1646.31,232,1.28,0.188,-1640.61,19.01,749,-1639.07,326,-1641.80,423,1.35,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224349,8.44e+12,-1644.36,21.63,1158,-1643.67,547,-1644.98,611,1.34,0.468,-1647.72,23.19,501,-1649.63,236,-1646.02,265,1.28,0.178,-1641.94,17.27,849,-1640.47,407,-1643.29,442,1.39,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224351,8.4e+12,-1643.57,19.21,1032,-1643.18,411,-1643.83,621,1.33,0.438,-1649.23,25.42,306,-1649.95,137,-1648.64,169,1.27,0.148,-1641.86,18.05,668,-1639.89,238,-1642.95,430,1.36,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224353,8.26e+12,-1643.61,19.94,420,-1643.27,251,-1644.11,169,1.39,0.454,-1644.95,21.54,161,-1646.31,99,-1642.78,62,1.27,0.174,-1638.95,17.74,384,-1638.49,209,-1639.51,175,1.23,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224355,8.42e+12,-1644.53,17.39,400,-1644.39,173,-1644.63,227,1.28,0.461,-1645.17,20.03,149,-1645.43,67,-1644.96,82,1.31,0.159,-1641.49,17.12,250,-1639.56,111,-1643.04,139,1.33,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224356,8.38e+12,-1646.60,18.70,398,-1645.15,175,-1647.73,223,1.32,0.469,-1649.90,22.52,157,-1649.96,68,-1649.84,89,1.33,0.175,-1642.12,18.13,253,-1640.84,112,-1643.14,141,1.34,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224357,4.18e+12,-1644.97,17.22,460,-1644.34,293,-1646.06,167,1.33,0.491,-1647.93,20.39,163,-1649.47,108,-1644.93,55,1.32,0.162,-1643.14,16.84,292,-1641.74,179,-1645.35,113,1.33,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224358,4.19e+12,-1644.28,17.81,387,-1641.84,200,-1646.90,187,1.32,0.452,-1646.35,19.42,154,-1647.99,73,-1644.87,81,1.23,0.167,-1646.75,17.20,268,-1646.83,135,-1646.67,133,1.31,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224359,8.41e+12,-1645.56,16.33,359,-1644.43,167,-1646.54,192,1.27,0.448,-1644.31,18.28,126,-1644.68,61,-1643.96,65,1.27,0.146,-1645.59,16.81,245,-1644.01,102,-1646.73,143,1.30,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
