run,tree,ch,n,n_core,frac_core,dt_med,dt_mean,dt_sigma,dt_std,dt_err,peak_med,amp_med,area_med,fwhm_med,rise_med,sat_frac,dt_lo,dt_hi,n_lo,n_hi,amp_lo,amp_hi
224356,WALA,1,3159,3097,0.9804,-1722,-1721,3.886,4.037,0.07255,-1701,2.858e+04,8.459e+05,1775,18.65,0,-1718,-1723,1321,1776,2.872e+04,2.851e+04
224356,WALA,2,3100,3097,0.999,-1711,-1711,3.97,4.154,0.07465,-1692,2.825e+04,7.792e+05,1866,17.76,0,-1707,-1713,1321,1776,2.841e+04,2.814e+04
224356,WALA,3,3185,3097,0.9724,-1720,-1720,3.108,3.362,0.06041,-1699,2.876e+04,8.711e+05,2093,15.34,0,-1717,-1722,1321,1776,2.902e+04,2.86e+04
224356,WALA,4,3097,3097,1,-1714,-1713,3.584,3.641,0.06542,-1694,2.869e+04,7.325e+05,2099,17.21,0,-1710,-1716,1321,1776,2.918e+04,2.846e+04
224356,WALA,5,3149,3097,0.9835,-1724,-1724,3.043,3.165,0.05688,-1702,2.917e+04,9.598e+05,2083,15.13,0,-1722,-1726,1321,1776,2.943e+04,2.903e+04
224356,WALA,6,3143,3097,0.9854,-1713,-1712,3.31,3.637,0.06535,-1693,2.858e+04,8.17e+05,1912,16.86,0,-1709,-1714,1321,1776,2.871e+04,2.849e+04
224356,WALA,7,3154,3097,0.9819,-1722,-1721,3.533,3.79,0.0681,-1701,2.847e+04,8.807e+05,1948,17.76,0,-1719,-1724,1321,1776,2.856e+04,2.841e+04
224356,WALA,8,3118,3096,0.9929,-1710,-1709,3.917,4.022,0.07228,-1691,2.857e+04,7.926e+05,1805,18.33,0,-1706,-1712,1320,1776,2.872e+04,2.848e+04
224356,WALB,1,3207,3097,0.9657,-1717,-1716,3.949,4.168,0.07489,-1697,2.827e+04,8.051e+05,1905,17.57,0,-1713,-1719,1321,1776,2.837e+04,2.819e+04
224356,WALB,2,3199,3097,0.9681,-1716,-1716,4.075,4.202,0.0755,-1698,2.857e+04,7.572e+05,1935,16.95,0,-1713,-1718,1321,1776,2.877e+04,2.843e+04
224356,WALB,3,3168,3097,0.9776,-1726,-1725,2.946,3.001,0.05393,-1705,2.847e+04,8.529e+05,2201,14.43,0,-1723,-1727,1321,1776,2.878e+04,2.828e+04
224356,WALB,4,3170,3097,0.977,-1715,-1714,3.1,3.121,0.05608,-1696,2.88e+04,7.938e+05,2174,14.94,0,-1712,-1716,1321,1776,2.903e+04,2.866e+04
224356,WALB,5,3144,3097,0.9851,-1722,-1721,2.733,2.778,0.04992,-1701,2.832e+04,8.425e+05,2282,13.39,0,-1719,-1723,1321,1776,2.873e+04,2.811e+04
224356,WALB,6,3150,3097,0.9832,-1722,-1721,2.832,2.936,0.05276,-1702,2.895e+04,8.301e+05,2206,14.16,0,-1719,-1723,1321,1776,2.925e+04,2.876e+04
224356,WALB,7,3152,3097,0.9826,-1720,-1719,3.133,3.269,0.05874,-1700,2.828e+04,8.442e+05,2191,14.7,0,-1717,-1721,1321,1776,2.855e+04,2.812e+04
224356,WALB,8,3162,3097,0.9794,-1718,-1717,3.221,3.665,0.06585,-1699,2.924e+04,8.274e+05,2127,15.34,0,-1715,-1719,1321,1776,2.942e+04,2.914e+04
224356,WALC,1,3168,3097,0.9776,-1714,-1713,4.665,4.939,0.08875,-1693,2.902e+04,8.148e+05,2001,19.34,0,-1709,-1716,1321,1776,2.922e+04,2.888e+04
224356,WALC,2,3171,3097,0.9767,-1711,-1710,4.72,4.856,0.08725,-1693,2.78e+04,7.388e+05,1869,18.61,0,-1707,-1713,1321,1776,2.808e+04,2.764e+04
224356,WALC,3,3163,3097,0.9791,-1712,-1711,3.96,4.161,0.07477,-1693,2.814e+04,8.087e+05,2163,17.49,0,-1708,-1714,1321,1776,2.817e+04,2.811e+04
224356,WALC,4,3169,3097,0.9773,-1715,-1715,3.983,4.159,0.07473,-1697,2.827e+04,7.425e+05,2176,16.87,0,-1712,-1717,1321,1776,2.836e+04,2.821e+04
224356,WALC,5,3161,3097,0.9798,-1713,-1713,3.843,4.146,0.0745,-1694,2.886e+04,8.695e+05,2146,17.23,0,-1710,-1715,1321,1776,2.891e+04,2.882e+04
224356,WALC,6,3163,3097,0.9791,-1716,-1716,3.953,4.191,0.07531,-1698,2.83e+04,7.527e+05,2178,16.53,0,-1713,-1718,1321,1776,2.846e+04,2.82e+04
224356,WALC,7,3144,3097,0.9851,-1717,-1716,4.035,4.318,0.07758,-1699,3.042e+04,8.19e+05,2158,17.51,0,-1713,-1719,1321,1776,3.054e+04,3.033e+04
224356,WALC,8,3152,3097,0.9826,-1716,-1716,3.964,4.225,0.07593,-1699,2.824e+04,7.163e+05,2164,16.78,0,-1713,-1718,1321,1776,2.844e+04,2.811e+04
224356,WALD,1,3168,3097,0.9776,-1710,-1710,4.175,4.459,0.08012,-1693,2.827e+04,7.503e+05,2089,17.17,0,-1707,-1712,1321,1776,2.838e+04,2.819e+04
224356,WALD,2,3165,3097,0.9785,-1712,-1712,4.19,4.239,0.07618,-1693,2.775e+04,7.483e+05,2149,18,0,-1709,-1714,1321,1776,2.788e+04,2.767e+04
224356,WALD,3,3156,3097,0.9813,-1715,-1714,3.753,3.841,0.06901,-1696,2.806e+04,7.523e+05,2195,16.77,0,-1712,-1717,1321,1776,2.828e+04,2.795e+04
224356,WALD,4,3147,3097,0.9841,-1718,-1717,3.462,3.649,0.06558,-1698,2.858e+04,8.48e+05,2169,16.95,0,-1714,-1719,1321,1776,2.868e+04,2.851e+04
224356,WALD,5,3105,3097,0.9974,-1712,-1711,3.581,3.719,0.06683,-1693,2.668e+04,7.27e+05,2238,16.77,0,-1708,-1713,1321,1776,2.68e+04,2.66e+04
224356,WALD,6,3166,3097,0.9782,-1718,-1718,3.516,3.72,0.06684,-1698,2.905e+04,8.863e+05,2228,16.59,0,-1715,-1720,1321,1776,2.915e+04,2.899e+04
224356,WALD,7,3173,3097,0.976,-1706,-1705,4.57,4.644,0.08344,-1686,2.843e+04,8.034e+05,1587,20.01,0,-1701,-1708,1321,1776,2.868e+04,2.826e+04
224356,WALD,8,3172,3097,0.9764,-1709,-1708,4.688,4.867,0.08745,-1688,2.821e+04,8.337e+05,1873,20.49,0,-1704,-1711,1321,1776,2.832e+04,2.811e+04
224356,PSSA,1,3045,2245,0.7373,-1645,-1647,17.95,33.58,0.7087,-1641,3.169e+04,3.53e+05,11.97,0,0,-1642,-1648,1079,1166,3.159e+04,3.186e+04
224356,PSSA,2,3017,1953,0.6473,-1634,-1636,16.44,40.26,0.9109,-1629,3.028e+04,3.026e+05,11.47,0,0,-1633,-1634,984,969,3.006e+04,3.074e+04
224356,PSSB,1,2958,1945,0.6575,-1642,-1644,15.92,34.24,0.7763,-1639,1.979e+04,2.051e+05,11.43,0,0,-1639,-1644,929,1016,1.939e+04,2.022e+04
224356,PSSB,2,2986,1943,0.6507,-1517,-1542,74.84,70.41,1.597,-1512,8233,1.05e+05,12.48,0,0,-1552,-1497,833,1110,1.192e+04,6210
224356,PSSC,1,2815,1623,0.5766,-1643,-1645,22.7,39.69,0.9852,-1638,3.001e+04,3.06e+05,11.89,0,0,-1642,-1645,814,809,2.958e+04,3.022e+04
224356,PSSC,2,3003,2053,0.6836,-1636,-1640,18.13,33.89,0.748,-1632,3.366e+04,3.782e+05,11.94,0,0,-1633,-1641,1032,1021,3.319e+04,3.417e+04
224356,PSSD,1,2997,2112,0.7047,-1637,-1642,17.33,35.32,0.7685,-1633,2.093e+04,2.233e+05,11.83,0,0,-1634,-1639,977,1135,2.053e+04,2.117e+04
224356,PSSD,2,3068,2206,0.719,-1631,-1632,16.82,39.09,0.8322,-1627,2e+04,1.959e+05,11.41,0,0,-1631,-1631,1073,1133,2.035e+04,1.946e+04
224357,WALA,1,3193,3180,0.9959,-1721,-1720,4.236,4.162,0.07381,-1699,2.861e+04,8.584e+05,746.6,19.07,0,-1718,-1723,1635,1545,2.874e+04,2.851e+04
224357,WALA,2,3181,3180,0.9997,-1711,-1710,4.368,4.245,0.07528,-1691,2.827e+04,7.84e+05,1360,18.11,0,-1707,-1713,1635,1545,2.841e+04,2.812e+04
224357,WALA,3,3198,3180,0.9944,-1720,-1719,3.432,3.249,0.05761,-1698,2.876e+04,8.724e+05,1545,15.9,0,-1717,-1722,1635,1545,2.9e+04,2.857e+04
