run,tree,ch,n,n_core,frac_core,dt_med,dt_mean,dt_sigma,dt_std,dt_err,peak_med,amp_med,area_med,fwhm_med,rise_med,sat_frac,dt_lo,dt_hi,n_lo,n_hi,amp_lo,amp_hi
224362,WALA,1,3096,3082,0.9955,-1722,-1710,4.695,25.13,0.4527,-1700,2.421e+04,2.167e+06,33.78,12.83,0,-1714,-1724,1441,1641,2.739e+04,2.356e+04
224362,WALA,2,3096,3082,0.9955,-1711,-1702,4.663,22.3,0.4017,-1690,2.425e+04,2.135e+06,29.57,12.95,0,-1706,-1713,1441,1641,2.651e+04,2.364e+04
224362,WALA,3,3096,3082,0.9955,-1720,-1718,2.928,12.77,0.2301,-1699,2.44e+04,2.061e+06,31.7,10.07,0,-1718,-1722,1441,1641,2.52e+04,2.395e+04
224362,WALA,4,3096,3082,0.9955,-1713,-1702,4.924,23.28,0.4194,-1690,2.4e+04,1.966e+06,26.7,12.41,0,-1707,-1715,1441,1641,2.716e+04,2.326e+04
224362,WALA,5,3082,3063,0.9938,-1725,-1721,2.838,14.06,0.254,-1704,2.61e+04,2.258e+06,34.2,10.5,0,-1722,-1726,1440,1623,2.737e+04,2.522e+04
224362,WALA,6,3082,3072,0.9968,-1712,-1705,3.726,20.33,0.3667,-1691,2.379e+04,2.011e+06,30.81,11.36,0,-1708,-1714,1439,1633,2.465e+04,2.351e+04
224362,WALA,7,3096,3082,0.9955,-1722,-1718,3.536,16.12,0.2903,-1701,2.338e+04,2.04e+06,33.69,11.74,0,-1718,-1724,1441,1641,2.376e+04,2.324e+04
224362,WALA,8,3096,3082,0.9955,-1710,-1701,4.523,22.29,0.4014,-1689,2.427e+04,2.152e+06,29.68,13.15,0,-1704,-1712,1441,1641,2.678e+04,2.382e+04
224362,WALB,1,3082,2999,0.9731,-1717,-1712,4.153,15.38,0.2809,-1695,2.24e+04,1.776e+06,30.72,11.49,0,-1712,-1719,1431,1568,2.284e+04,2.224e+04
224362,WALB,2,3096,3029,0.9784,-1716,-1710,4.273,18.01,0.3273,-1695,2.369e+04,2.007e+06,27.63,11.42,0,-1712,-1718,1435,1594,2.412e+04,2.341e+04
224362,WALB,3,3090,3073,0.9945,-1726,-1725,2.884,5.673,0.1023,-1704,2.388e+04,1.819e+06,31.67,9.249,0,-1723,-1727,1441,1632,2.425e+04,2.371e+04
224362,WALB,4,3096,3082,0.9955,-1715,-1713,3.047,7.463,0.1344,-1694,2.395e+04,1.834e+06,28.28,9.845,0,-1712,-1716,1441,1641,2.424e+04,2.381e+04
224362,WALB,5,3096,3082,0.9955,-1722,-1721,2.73,3.344,0.06024,-1701,2.384e+04,1.802e+06,29.49,8.595,0,-1719,-1723,1441,1641,2.435e+04,2.364e+04
224362,WALB,6,3096,3082,0.9955,-1722,-1721,2.911,5.642,0.1016,-1701,2.449e+04,1.875e+06,30.1,9.415,0,-1719,-1723,1441,1641,2.491e+04,2.423e+04
224362,WALB,7,3082,3032,0.9838,-1719,-1719,3.22,4.25,0.07718,-1698,2.275e+04,1.684e+06,31.5,8.941,0,-1716,-1721,1441,1591,2.258e+04,2.28e+04
224362,WALB,8,3082,3034,0.9844,-1717,-1715,3.317,11.1,0.2014,-1696,2.423e+04,1.884e+06,29.94,10.1,0,-1715,-1719,1439,1595,2.48e+04,2.395e+04
224362,WALC,1,3096,3074,0.9929,-1713,-1708,5.104,17.2,0.3101,-1688,2.325e+04,2.031e+06,32.99,13.51,0,-1708,-1716,1441,1633,2.528e+04,2.193e+04
