run,PSSA,PSSA_sig,PSSA_n,PSSB,PSSB_sig,PSSB_n,PSSC,PSSC_sig,PSSC_n,PSSD,PSSD_sig,PSSD_n,LIQA,LIQA_sig,LIQA_n,LIQB,LIQB_sig,LIQB_n,LIQC,LIQC_sig,LIQC_n,LIQD,LIQD_sig,LIQD_n
224345,-1641.53,19.1,1120,-1648.23,22.8,459,-1640.78,18.8,820,,,,,,,,,,,,,,,
224348,-1644.15,20.6,1143,-1647.35,22.0,439,-1640.66,17.9,802,,,,,,,,,,,,,,,
224351,-1643.57,19.2,1032,-1649.23,25.4,306,-1641.86,18.1,668,,,,,,,,,,,,,,,
224354,-1644.68,20.1,1049,-1649.95,26.0,350,-1639.92,19.5,826,,,,,,,,,,,,,,,
224356,-1646.60,18.7,398,-1649.90,22.5,157,-1642.12,18.1,253,,,,,,,,,,,,,,,
224357,-1644.97,17.2,460,-1647.93,20.4,163,-1643.14,16.8,292,,,,,,,,,,,,,,,
224358,-1644.28,17.8,387,-1646.35,19.4,154,-1646.75,17.2,268,,,,,,,,,,,,,,,
224359,-1645.56,16.3,359,-1644.31,18.3,126,-1645.59,16.8,245,,,,,,,,,,,,,,,
224360,-1645.54,18.3,351,-1645.02,18.3,116,-1645.94,17.9,230,,,,,,,,,,,,,,,
224363,-1644.76,17.4,298,-1644.30,19.3,105,-1645.09,17.7,182,,,,,,,,,,,,,,,
224366,-1647.95,18.2,317,-1648.56,17.6,107,-1645.80,15.6,199,,,,,,,,,,,,,,,
224369,-1646.18,15.9,304,-1652.23,18.9,120,-1645.71,18.6,192,,,,,,,,,,,,,,,
224372,-1645.65,16.8,259,-1652.64,19.7,94,-1647.19,20.1,201,,,,,,,,,,,,,,,
224375,-1648.26,15.0,297,-1651.05,17.9,125,-1647.84,19.5,222,,,,,,,,,,,,,,,
224379,,,,,,,,,,,,,,,,,,,,,,,,
224382,,,,,,,,,,,,,,,,,,,,,,,,
224385,,,,,,,,,,,,,,,,,,,,,,,,
224388,,,,,,,,,,,,,,,,,,,,,,,,
224391,,,,,,,,,,,,,,,,,,,,,,,,
224394,,,,,,,,,,,,,,,,,,,,,,,,
224400,-1696.57,5.6,32,-1658.46,15.8,44,-1655.98,18.9,108,-1681.03,6.3,92,-1707.21,5.2,49,,,,,,,-1706.14,6.3,63
224403,-1698.54,5.0,74,-1657.97,14.0,139,-1662.90,35.0,184,-1683.29,5.3,187,-1706.99,5.6,139,,,,,,,-1705.83,6.1,121
224406,-1699.40,5.4,100,-1664.43,25.5,121,-1665.52,37.6,194,-1690.22,5.0,181,-1708.27,4.8,116,,,,,,,-1706.72,7.7,108
224409,,,,,,,,,,,,,,,,,,,,,,,,
224412,,,,,,,,,,,,,,,,,,,,,,,,
224415,,,,,,,,,,,,,,,,,,,,,,,,
224418,,,,,,,,,,,,,,,,,,,,,,,,
224421,,,,,,,,,,,,,,,,,,,,,,,,
