run,epoch,tree,ch,peak,found,sigma,amp,satu,fwhm,rise,area,spread90,nhit,nb
224357,2026-07-11,PSSA,1,-1632.5000,0.7006,14.5971,32010.6621,0.0000,11.3745,0.0000,363263.1562,859.3881,32.7311,3180
224357,2026-07-11,PSSA,2,-1632.5000,0.6151,13.1145,30450.2285,0.0000,11.0000,0.0000,310230.3438,838.0002,31.1714,3180
224357,2026-07-11,PSSB,1,-597.5000,0.9582,31.9351,549.6193,0.0000,11.1676,5.8051,6212.8042,1683.9586,60.9330,3180
224357,2026-07-11,PSSB,2,-1632.5000,0.4164,15.1595,35806.5762,0.0000,10.0000,0.0000,345144.4531,812.6428,30.8104,3180
224357,2026-07-11,PSSC,1,-1627.5000,0.4708,16.6984,31347.1758,0.0000,11.1521,0.0000,352668.4688,805.3520,27.3997,3180
224357,2026-07-11,PSSC,2,-1627.5000,0.6025,14.6709,33638.3594,0.0000,11.4152,0.0000,390328.1719,842.2489,30.0607,3180
224357,2026-07-11,PSSD,1,-1622.5000,0.6365,13.0815,21048.1514,0.0000,11.0087,0.0000,213977.5000,848.1189,29.8283,3180
224357,2026-07-11,PSSD,2,-687.5000,0.9899,33.6922,691.4567,0.0000,9.9247,5.6882,6998.5562,1654.7212,62.7852,3180
224357,2026-07-11,WALA,1,-1722.5000,1.0000,4.2360,28613.7197,0.0000,746.6223,19.0671,858400.3750,959.9401,10.6406,3180
224357,2026-07-11,WALA,2,-1712.5000,1.0000,4.3678,28268.0479,0.0000,1360.3201,18.1079,783999.3438,953.8575,11.7965,3180
224357,2026-07-11,WALA,3,-1722.5000,1.0000,3.4323,28760.1592,0.0000,1545.3659,15.8959,872400.2188,950.2686,13.1862,3180
224357,2026-07-11,WALA,4,-1712.5000,1.0000,3.9637,28730.8330,0.0000,1563.2626,17.7675,736989.9062,961.7918,11.2154,3180
224357,2026-07-11,WALA,5,-1722.5000,1.0000,3.4234,29199.8809,0.0000,1519.3784,15.8701,971478.2500,954.5061,12.8726,3180
224357,2026-07-11,WALA,6,-1712.5000,1.0000,3.9256,28612.9385,0.0000,1418.4835,17.1921,831799.8125,956.4296,12.2248,3180
224357,2026-07-11,WALA,7,-1722.5000,1.0000,3.8068,28475.7520,0.0000,1428.7850,18.2279,884565.2188,957.8412,11.8670,3180
224357,2026-07-11,WALA,8,-1712.5000,1.0000,4.3160,28626.6846,0.0000,1203.1781,18.5867,796303.3438,954.7495,11.7138,3180
224357,2026-07-11,WALB,1,-1717.5000,1.0000,4.3093,28245.4932,0.0000,1391.6321,17.8869,799685.3125,959.5946,11.6830,3180
224357,2026-07-11,WALB,2,-1717.5000,1.0000,4.2923,28568.3848,0.0000,1436.5144,17.2010,756949.3438,955.3444,12.3371,3180
224357,2026-07-11,WALB,3,-1727.5000,1.0000,3.1857,28515.5625,0.0000,1733.8303,14.8620,866488.9375,952.4676,12.9129,3180
224357,2026-07-11,WALB,4,-1712.5000,1.0000,3.3987,28819.9697,0.0000,1686.9396,15.2612,807511.7188,952.5925,13.7909,3180
224357,2026-07-11,WALB,5,-1722.5000,1.0000,3.0845,28359.0156,0.0000,1849.9732,13.7438,835467.0938,949.8960,13.6462,3180
224357,2026-07-11,WALB,6,-1722.5000,1.0000,3.1226,28983.2949,0.0000,1714.3253,14.4232,831883.1875,952.8158,12.9047,3180
224357,2026-07-11,WALB,7,-1717.5000,1.0000,3.5494,28313.4170,0.0000,1681.2473,15.2031,855465.0312,953.9992,13.3607,3180
224357,2026-07-11,WALB,8,-1717.5000,1.0000,3.7317,29244.2129,0.0000,1567.8375,15.7999,838041.1250,951.6976,12.9088,3180
224357,2026-07-11,WALC,1,-1712.5000,1.0000,4.9660,28983.2490,0.0000,1521.8594,19.4362,811225.9375,959.6770,11.7031,3180
224357,2026-07-11,WALC,2,-1712.5000,1.0000,4.9079,27795.3115,0.0000,1368.2689,18.4343,732722.3750,959.0969,11.0252,3180
224357,2026-07-11,WALC,3,-1712.5000,1.0000,4.2154,28156.8760,0.0000,1675.8372,17.8515,809593.6875,952.2563,13.4896,3180
224357,2026-07-11,WALC,4,-1717.5000,1.0000,4.1852,28292.2734,0.0000,1695.6326,17.0577,748094.7812,954.5776,12.3550,3180
224357,2026-07-11,WALC,5,-1712.5000,1.0000,4.1450,28870.6201,0.0000,1627.6945,17.6048,873298.9062,955.7869,13.1019,3180
224357,2026-07-11,WALC,6,-1717.5000,1.0000,4.2253,28329.2061,0.0000,1688.8882,16.9415,765103.6562,954.5979,12.6987,3180
224357,2026-07-11,WALC,7,-1717.5000,1.0000,4.4088,30387.7314,0.0000,1647.2335,17.7630,824529.7812,956.1822,12.4720,3180
224357,2026-07-11,WALC,8,-1717.5000,1.0000,4.4345,28265.2686,0.0000,1678.1916,16.9116,729339.6250,951.2801,13.2318,3180
224357,2026-07-11,WALD,1,-1712.5000,1.0000,4.4030,28281.6152,0.0000,1545.1847,17.2506,765244.3438,951.4663,13.2978,3180
224357,2026-07-11,WALD,2,-1712.5000,1.0000,4.3318,27776.2549,0.0000,1632.5124,18.1946,761381.2812,952.5822,13.4582,3180
224357,2026-07-11,WALD,3,-1717.5000,1.0000,4.0140,28073.9912,0.0000,1720.1710,16.9578,761005.1562,954.2707,12.3176,3180
224357,2026-07-11,WALD,4,-1717.5000,1.0000,3.9060,28609.7842,0.0000,1668.3005,17.2718,859198.7812,954.8690,13.0786,3180
224357,2026-07-11,WALD,5,-1712.5000,1.0000,3.8839,26729.2471,0.0000,1794.9317,17.0633,742729.5000,953.6925,13.1874,3180
224357,2026-07-11,WALD,6,-1717.5000,1.0000,3.8103,29107.0605,0.0000,1802.2883,17.0406,902124.4688,955.7702,12.8230,3180
224357,2026-07-11,WALD,7,-1707.5000,1.0000,4.9420,28461.0039,0.0000,619.3090,20.3746,819767.1562,962.3243,9.8314,3180
224357,2026-07-11,WALD,8,-1707.5000,1.0000,5.0785,28216.8271,0.0000,1345.7311,20.7997,846679.8438,960.5931,11.0522,3180
224464,2026-07-16,PSSA,1,-1637.5000,0.4774,14.9430,38963.6855,0.0000,11.1667,0.0000,439688.9062,803.8326,31.0325,2681
224464,2026-07-16,PSSA,2,-1702.5000,0.6162,2.7129,36527.5469,0.0000,70.1458,29.9413,1632411.4375,767.4182,27.0041,2681
224464,2026-07-16,PSSB,1,-1707.5000,0.8322,3.0992,26181.7266,0.0000,50.8468,27.8030,1094513.2500,889.1745,25.8862,2681
224464,2026-07-16,PSSB,2,-1707.5000,0.5162,7.7556,43353.0195,0.0000,33.5196,20.8570,1221966.0000,743.2875,26.3771,2681
224464,2026-07-16,PSSC,1,-1707.5000,0.6595,4.0136,37889.9883,0.0000,42.1445,23.2007,1331669.8750,868.3976,22.2272,2681
224464,2026-07-16,PSSC,2,-1702.5000,0.7277,7.0923,40538.5820,0.0000,34.2715,22.8202,1309448.7500,886.1344,23.2193,2681
224464,2026-07-16,PSSD,1,-1707.5000,0.7538,2.7441,26422.0039,0.0000,54.0036,28.4035,1149854.3750,881.8999,23.6225,2681
224464,2026-07-16,PSSD,2,-1697.5000,0.5595,4.2731,26690.7871,0.0000,51.7241,28.8331,1242392.6250,781.4280,28.9232,2681
224464,2026-07-16,LIQA,1,-1707.5000,0.9907,3.9986,63999.0293,0.8313,78.0453,9.3985,5005919.2500,866.1620,39.6050,2681
224464,2026-07-16,LIQB,1,-1712.5000,0.9925,4.0034,63937.3672,0.8298,77.9718,10.9705,5038806.5000,949.6497,35.1149,2681
224464,2026-07-16,LIQC,1,-1697.5000,1.0000,3.9483,63902.4102,0.7408,144.4987,11.2645,7322725.0000,951.0145,47.6397,2681
224464,2026-07-16,LIQD,1,-1702.5000,1.0000,4.2622,63886.2617,0.8075,113.4634,8.7561,6433960.0000,797.6753,51.8795,2681
224464,2026-07-16,WALA,1,-1722.5000,1.0000,2.7980,28827.1934,0.0000,2258.1357,16.2074,852035.1250,955.2472,13.0888,2681
224464,2026-07-16,WALA,2,-1712.5000,1.0000,2.6558,28391.9141,0.0000,2352.6284,16.1198,792700.7500,951.3136,13.2988,2681
224464,2026-07-16,WALA,3,-1722.5000,1.0000,2.1625,28397.6113,0.0000,2557.5967,12.6919,817535.3125,879.6448,12.5863,2681
224464,2026-07-16,WALA,4,-1717.5000,1.0000,2.3188,28592.6914,0.0000,2641.4905,14.4471,689148.7500,916.0348,10.8877,2681
224464,2026-07-16,WALA,5,-1727.5000,1.0000,2.0354,28907.2754,0.0000,2576.3943,11.9914,936437.8750,880.7717,11.8217,2681
224464,2026-07-16,WALA,6,-1717.5000,1.0000,2.0718,28643.9395,0.0000,2432.5759,13.5581,837209.3750,933.2423,12.7411,2681
224464,2026-07-16,WALA,7,-1727.5000,1.0000,2.1629,28308.7148,0.0000,2460.5588,13.0516,886975.8125,923.5579,12.1645,2681
224464,2026-07-16,WALA,8,-1712.5000,1.0000,2.3199,29000.6309,0.0000,2305.6313,14.6037,849126.3125,953.1882,13.6333,2681
224464,2026-07-16,WALB,1,-1717.5000,1.0000,2.8871,28168.1211,0.0000,2403.9402,15.9909,792404.2500,927.1226,12.1037,2681
224464,2026-07-16,WALB,2,-1717.5000,1.0000,2.8938,28515.2188,0.0000,2435.1846,15.7160,740909.5000,929.0809,12.6195,2681
224464,2026-07-16,WALB,3,-1727.5000,1.0000,2.4758,28315.2090,0.0000,2749.8066,13.6043,805301.6250,922.2505,12.3543,2681
224464,2026-07-16,WALB,4,-1717.5000,1.0000,2.5104,28690.9316,0.0000,2708.8816,14.0874,760653.8125,907.0191,13.2040,2681
224464,2026-07-16,WALB,5,-1722.5000,1.0000,2.3047,28138.0488,0.0000,2893.4529,12.9023,786209.5000,913.3260,13.1384,2681
224464,2026-07-16,WALB,6,-1722.5000,1.0000,2.4147,28771.9082,0.0000,2784.8513,13.4178,788969.9375,921.2060,12.3853,2681
224464,2026-07-16,WALB,7,-1722.5000,1.0000,2.5463,28128.8613,0.0000,2724.8555,13.8294,805889.5625,919.6606,13.0000,2681
224464,2026-07-16,WALB,8,-1717.5000,1.0000,2.6811,29158.6953,0.0000,2630.2705,14.4996,803773.8750,885.1033,11.8978,2681
224464,2026-07-16,WALC,1,-1722.5000,1.0000,2.5360,29636.5117,0.0000,2458.6450,14.5126,927789.6875,893.0447,11.7822,2681
224464,2026-07-16,WALC,2,-1717.5000,1.0000,2.6545,28243.4785,0.0000,2336.3296,15.1529,823829.9375,950.8906,12.9340,2681
224464,2026-07-16,WALC,3,-1717.5000,1.0000,2.1766,28029.1152,0.0000,2724.1394,12.3216,848265.6875,905.7862,12.9523,2681
224464,2026-07-16,WALC,4,-1722.5000,1.0000,2.1427,28242.7832,0.0000,2758.0642,12.5248,775929.3125,913.9805,12.1197,2681
