start,end,start_s,end_s,A_drift_V,A_resist_V,A_resist_imon_med,dur_s
2026-08-09 17:10:43,2026-08-09 17:18:34,61843,62314,700,565,0.06,471
2026-08-09 17:18:36,2026-08-09 17:24:08,62316,62648,700,560,0.042,332
2026-08-09 17:24:09,2026-08-09 17:29:49,62649,62989,700,555,0.033,340
2026-08-09 17:29:50,2026-08-09 17:35:35,62990,63335,700,550,0.027,345
2026-08-09 17:35:37,2026-08-09 17:41:19,63337,63679,700,545,0.023,342
2026-08-09 17:41:21,2026-08-09 17:47:06,63681,64026,700,540,0.021,345
2026-08-09 17:47:08,2026-08-09 17:52:52,64028,64372,700,535,0.02,344
2026-08-09 17:52:53,2026-08-09 17:58:38,64373,64718,700,530,0.019,345
2026-08-09 17:58:39,2026-08-09 18:04:22,64719,65062,700,525,0.019,343
2026-08-09 18:04:24,2026-08-09 18:10:07,65064,65407,700,520,0.018,343
2026-08-09 18:10:09,2026-08-09 18:15:40,65409,65740,700,515,0.018,331
2026-08-09 18:15:42,2026-08-09 18:21:14,65742,66074,700,510,0.017,332
2026-08-09 18:21:15,2026-08-09 18:26:56,66075,66416,700,505,0.017,341
2026-08-09 18:26:57,2026-08-09 18:32:30,66417,66750,700,500,0.016,333
2026-08-09 18:32:47,2026-08-09 18:38:14,66767,67094,600,570,0.587,327
2026-08-09 18:38:15,2026-08-09 18:43:47,67095,67427,600,560,0.546,332
2026-08-09 18:43:49,2026-08-09 18:49:31,67429,67771,600,550,0.531,342
2026-08-09 18:49:33,2026-08-09 18:55:15,67773,68115,600,540,0.572,342
2026-08-09 18:55:17,2026-08-09 19:01:00,68117,68460,600,530,0.545,343
2026-08-09 19:01:09,2026-08-09 19:06:46,68469,68806,500,570,0.721,337
2026-08-09 19:06:48,2026-08-09 19:12:32,68808,69152,500,560,0.638,344
2026-08-09 19:12:33,2026-08-09 19:18:18,69153,69498,500,550,0.597,345
2026-08-09 19:18:19,2026-08-09 19:24:02,69499,69842,500,540,0.562,343
2026-08-09 19:24:04,2026-08-09 19:30:58,69844,70258,500,530,0.533,414
2026-08-09 19:31:39,2026-08-09 19:36:59,70299,70619,700,570,0.698,320
