run	date	ear	measurement	trees	detectors
125651	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125652	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125653	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125654	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125655	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125656	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125657	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125658	2026-06-28	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125659	2026-06-29	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125660	2026-06-29	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125661	2026-06-29	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125662	2026-06-29	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,PKUP,PPAC,PPAN,STAR,TOF2
125667	2026-07-01	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,TOF2
125668	2026-07-01	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
125669	2026-07-01	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
125671	2026-07-01	EAR1	235U_RePPAC	DAQsettings,DIC6,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
125702	2026-07-01	EAR1	MArEX	DAQsettings,DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
125703	2026-07-02	EAR1	MArEX	DAQsettings,DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
125704	2026-07-02	EAR1	MArEX	DAQsettings,DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
125705	2026-07-02	EAR1	MArEX	DAQsettings,DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2,history,index	DIC6,FC-B,FC-U,PKUP,PPAC,PPAN,STAR,TOF2
