run	date	measurement	stream1_files_on_disk
222989	2026-02-24	EAR2/BeamCommissioning	0
222990	2026-02-24	EAR2/BeamCommissioning	0
222992	2026-02-24	EAR2/BeamCommissioning	0
222993	2026-02-24	EAR2/BeamCommissioning	0
222994	2026-02-25	EAR2/BeamCommissioning	0
222995	2026-02-25	EAR2/BeamCommissioning	0
222996	2026-02-25	EAR2/BeamCommissioning	0
222997	2026-02-25	EAR2/BeamCommissioning	0
222998	2026-02-25	EAR2/BeamCommissioning	0
222999	2026-02-25	EAR2/BeamCommissioning	0
223000	2026-02-25	EAR2/BeamCommissioning	0
223001	2026-02-25	EAR2/BeamCommissioning	0
223002	2026-02-25	EAR2/BeamCommissioning	0
223003	2026-02-25	EAR2/BeamCommissioning	0
223004	2026-02-25	EAR2/BeamCommissioning	0
223005	2026-02-25	EAR2/BeamCommissioning	0
223006	2026-02-25	EAR2/BeamCommissioning	0
223007	2026-02-25	EAR2/BeamCommissioning	0
223008	2026-02-25	EAR2/BeamCommissioning	0
223009	2026-02-25	EAR2/BeamCommissioning	132
223010	2026-02-26	EAR2/BeamCommissioning	0
223011	2026-02-26	EAR2/BeamCommissioning	142
223012	2026-02-26	EAR2/BeamCommissioning	0
223013	2026-02-26	EAR2/BeamCommissioning	0
223014	2026-02-26	EAR2/BeamCommissioning	0
223015	2026-02-26	EAR2/BeamCommissioning	0
223016	2026-02-26	EAR2/BeamCommissioning	0
223017	2026-02-26	EAR2/BeamCommissioning	0
223018	2026-02-26	EAR2/BeamCommissioning	0
223019	2026-02-27	EAR2/BeamCommissioning	0
223020	2026-02-27	EAR2/BeamCommissioning	0
223021	2026-02-27	EAR2/BeamCommissioning	0
223022	2026-02-27	EAR2/BeamCommissioning	0
223023	2026-02-27	EAR2/BeamCommissioning	0
223024	2026-02-27	EAR2/BeamCommissioning	0
223025	2026-02-27	EAR2/BeamCommissioning	0
223026	2026-02-27	EAR2/BeamCommissioning	0
223027	2026-02-27	EAR2/BeamCommissioning	0
223028	2026-02-27	EAR2/BeamCommissioning	0
223029	2026-02-27	EAR2/BeamCommissioning	0
223030	2026-02-27	EAR2/BeamCommissioning	0
223031	2026-02-28	EAR2/BeamCommissioning	0
223032	2026-02-28	EAR2/BeamCommissioning	0
223033	2026-02-28	EAR2/BeamCommissioning	0
223034	2026-02-28	EAR2/BeamCommissioning	0
223035	2026-02-28	EAR2/BeamCommissioning	0
223036	2026-02-28	EAR2/BeamCommissioning	0
223037	2026-02-28	EAR2/BeamCommissioning	0
223038	2026-02-28	EAR2/BeamCommissioning	0
223039	2026-02-28	EAR2/BeamCommissioning	0
223040	2026-02-28	EAR2/BeamCommissioning	0
223041	2026-02-28	EAR2/BeamCommissioning	0
223042	2026-02-28	EAR2/BeamCommissioning	0
223043	2026-02-28	EAR2/BeamCommissioning	0
223044	2026-02-28	EAR2/BeamCommissioning	0
223045	2026-02-28	EAR2/BeamCommissioning	0
223046	2026-02-28	EAR2/BeamCommissioning	0
223047	2026-02-28	EAR2/BeamCommissioning	0
223048	2026-02-28	EAR2/BeamCommissioning	0
223049	2026-02-28	EAR2/BeamCommissioning	0
223050	2026-02-28	EAR2/BeamCommissioning	0
223051	2026-02-28	EAR2/BeamCommissioning	0
223052	2026-02-28	EAR2/BeamCommissioning	0
223053	2026-03-01	EAR2/BeamCommissioning	0
223054	2026-03-01	EAR2/BeamCommissioning	0
223055	2026-03-01	EAR2/BeamCommissioning	0
223056	2026-03-01	EAR2/BeamCommissioning	0
223057	2026-03-01	EAR2/BeamCommissioning	0
223058	2026-03-01	EAR2/BeamCommissioning	0
223059	2026-03-01	EAR2/BeamCommissioning	0
223060	2026-03-01	EAR2/BeamCommissioning	0
223061	2026-03-01	EAR2/BeamCommissioning	0
223062	2026-03-01	EAR2/BeamCommissioning	0
223063	2026-03-02	EAR2/BeamCommissioning	0
223064	2026-03-02	EAR2/BeamCommissioning	0
223065	2026-03-02	EAR2/BeamCommissioning	0
