run,raw_files,raw_MB,parts,parts_MB,merged_bytes,state
224264,0,0,1,0,25909,MERGED
224265,0,0,1,0,26117,MERGED
224266,0,0,30,48,49320592,MERGED
224267,0,0,14,23,24559012,MERGED
224268,0,0,1,0,890332,MERGED
224269,10,873,3,2,2904739,MERGED
224270,154,27761,39,64,65883130,MERGED
224271,0,0,49,83,84504281,MERGED
224272,0,0,47,75,76772668,MERGED
224273,0,0,37,52,52838983,MERGED
224274,0,0,33,55,57231046,MERGED
224275,0,0,2,2,2856821,MERGED
224276,0,0,1,0,294964,MERGED
224277,0,0,37,64,65731167,MERGED
224278,0,0,18,30,31650571,MERGED
224279,157,4545,40,66,67673172,MERGED
224280,0,0,39,64,65901807,MERGED
224281,0,0,43,71,72941244,MERGED
224282,0,0,39,66,67463006,MERGED
224283,0,0,21,33,33989093,MERGED
224284,0,0,46,71,72216960,MERGED
224285,0,0,19,29,30138074,MERGED
224286,0,0,2,2,2858218,MERGED
224287,0,0,3,3,3547288,MERGED
224288,0,0,42,65,66839155,MERGED
224289,0,0,44,69,70400081,MERGED
224290,0,0,42,66,67399558,MERGED
224291,0,0,29,46,47377738,MERGED
224292,0,0,41,65,66263000,MERGED
224293,0,0,39,63,64498944,MERGED
224294,87,2738,22,35,36021181,MERGED
224295,0,0,27,41,42704512,MERGED
224296,0,0,31,50,51346759,MERGED
224297,0,0,19,13,13578835,MERGED
224298,0,0,1,0,1004931,MERGED
224299,0,0,4,5,5940006,MERGED
224300,0,0,1,0,183294,MERGED
224301,0,0,27,43,44403701,MERGED
224302,154,14793,16,63,65322244,MERGED
224303,0,0,39,64,65693533,MERGED
224304,0,0,16,63,65932941,MERGED
224305,0,0,32,52,53978978,MERGED
224306,0,0,37,61,63162831,MERGED
224307,0,0,22,37,39104914,MERGED
224308,0,0,42,68,69729793,MERGED
224309,0,0,34,55,57074400,MERGED
224310,0,0,40,64,66023585,MERGED
224311,0,0,26,39,40769748,MERGED
224312,0,0,44,64,65649734,MERGED
224313,0,0,40,65,66541539,MERGED
224314,0,0,20,32,33387621,MERGED
224315,0,0,37,61,62838495,MERGED
224316,0,0,40,65,66299978,MERGED
224317,0,0,7,9,9475886,MERGED
224318,0,0,45,65,66370322,MERGED
224319,0,0,42,64,65710735,MERGED
224320,0,0,45,64,65684048,MERGED
224321,0,0,40,63,64995798,MERGED
224322,0,0,7,12,12521058,MERGED
224323,0,0,1,0,27236,MERGED
224324,0,0,52,4,2458167,MERGED
224325,264,3661,66,6,3193406,MERGED
224326,0,0,41,63,64477461,MERGED
224327,173,5401,44,66,67606467,MERGED
224328,0,0,46,64,65151892,MERGED
224329,0,0,28,31,32253402,MERGED
224330,0,0,1,0,56363,MERGED
224331,0,0,1,0,61468,MERGED
224332,0,0,1,0,56591,MERGED
224333,0,0,1,0,57361,MERGED
224334,0,0,1,0,56192,MERGED
224335,0,0,1,0,57313,MERGED
224336,0,0,1,0,71677,MERGED
224337,0,0,1,0,64357,MERGED
224338,0,0,1,0,62889,MERGED
224339,0,0,1,0,67114,MERGED
224341,0,0,1,16,17545101,MERGED
224342,0,0,1,7,8260038,MERGED
224343,0,0,1,1,2008431,MERGED
224344,0,0,1,0,119740,MERGED
224345,152,283507,38,7125,7469742268,MERGED
224346,0,0,39,8327,8730228694,MERGED
224347,0,0,42,8876,9305556695,MERGED
224348,0,0,48,5990,6279098408,MERGED
224349,0,0,30,3339,3500485777,MERGED
224350,0,0,1,164,172336949,MERGED
224351,0,0,31,7491,7854260692,MERGED
224352,0,0,2,199,208714659,MERGED
224353,0,0,6,960,1006706013,MERGED
224354,0,0,6,2129,2232530673,MERGED
224355,0,0,47,10837,11362823196,MERGED
224356,0,0,43,10870,11398077863,MERGED
224357,0,0,42,9926,10408147275,MERGED
224358,0,0,41,9253,9701937506,MERGED
224359,0,0,18,9889,10370590575,MERGED
224360,0,0,7,1719,1802955550,MERGED
224361,0,0,41,13825,14497213432,MERGED
224362,0,0,43,13608,14268825486,MERGED
224363,0,0,46,14851,15572325808,MERGED
224364,34,93973,9,2771,2905706660,MERGED
224365,0,0,43,14175,14863707881,MERGED
224366,0,0,43,13772,14440831519,MERGED
224367,0,0,43,13300,13946545833,MERGED
224368,0,0,48,15280,16022280721,MERGED
224369,0,0,42,14869,15591700467,MERGED
224370,0,0,40,11269,11816156330,MERGED
224371,0,0,51,14572,15279270667,MERGED
224372,0,0,51,18093,18971334376,MERGED
224373,0,0,40,14045,14727195024,MERGED
224374,0,0,41,13696,14361290721,MERGED
224375,0,0,17,13923,14601068195,MERGED
224376,0,0,16,14829,15550857200,MERGED
224377,0,0,11,3387,3552367648,MERGED
224379,0,0,1,161,168896378,MERGED
224380,0,0,1,5,5755846,MERGED
224381,0,0,11,3994,4188499902,MERGED
224382,0,0,2,76,80254241,MERGED
224383,0,0,1,4,5006275,MERGED
224384,0,0,1,2,2623282,MERGED
224385,0,0,1,4,4277129,MERGED
224386,0,0,1,3,3792068,MERGED
224387,0,0,1,5,5723422,MERGED
224388,0,0,1,11,11926253,MERGED
224389,0,0,1,8,9322890,MERGED
224390,0,0,1,2,2387481,MERGED
224391,0,0,1,1,1453090,MERGED
224392,0,0,1,1,1850858,MERGED
224393,0,0,1,2,2920291,MERGED
224394,0,0,1,1,2090576,MERGED
224398,0,0,1,3,3255550,MERGED
224399,0,0,1,24,25508259,MERGED
224400,0,0,2,1219,1278523133,MERGED
224401,0,0,32,21322,22359721964,MERGED
224402,0,0,45,28895,30300800624,MERGED
224403,0,0,40,20284,21269838916,MERGED
224404,0,0,48,26011,27275299360,MERGED
224405,0,0,17,26351,0,MERGE_EMPTY
224406,0,0,39,26576,27869424188,MERGED
224407,0,0,14,10855,11383686132,MERGED
224408,0,0,1,2,2123706,MERGED
224409,0,0,1,0,714154,MERGED
224410,0,0,1,0,560947,MERGED
224411,0,0,1,0,577885,MERGED
224412,0,0,1,0,646936,MERGED
224413,0,0,1,0,620053,MERGED
224414,0,0,1,0,630300,MERGED
224415,0,0,1,0,627981,MERGED
224416,0,0,1,0,593798,MERGED
224417,0,0,1,0,618519,MERGED
224418,0,0,1,0,648075,MERGED
224419,0,0,1,0,588912,MERGED
224420,0,0,1,0,513988,MERGED
224421,0,0,1,0,478509,MERGED
224422,0,0,1,0,258043,MERGED
224423,0,0,1,0,201613,MERGED
224424,0,0,1,0,461037,MERGED
224425,0,0,1,0,518633,MERGED
224426,0,0,1,0,233536,MERGED
224427,0,0,1,0,515819,MERGED
224428,0,0,1,0,460049,MERGED
224429,0,0,1,0,776402,MERGED
224430,0,0,1,0,303893,MERGED
224431,0,0,1,0,364212,MERGED
224432,0,0,1,7,8071023,MERGED
224433,0,0,1,0,174375,MERGED
224434,0,0,1,0,137437,MERGED
224435,0,0,1,0,94046,MERGED
224436,0,0,1,0,154767,MERGED
224437,0,0,1,0,238810,MERGED
224438,0,0,1,0,258140,MERGED
224439,0,0,1,0,235227,MERGED
224440,0,0,2,5,6173837,MERGED
224441,0,0,1,0,507872,MERGED
224442,0,0,1,0,320068,MERGED
224443,0,0,1,0,467851,MERGED
224444,0,0,1,0,264315,MERGED
224445,0,0,1,0,418085,MERGED
224446,0,0,1,0,445849,MERGED
224447,0,0,1,0,437609,MERGED
224448,0,0,1,0,424607,MERGED
224449,0,0,1,0,433063,MERGED
224450,0,0,5,6289,6595180268,MERGED
224451,0,0,51,64709,-1,PARTIALS_ONLY
224452,0,0,53,69141,-1,PARTIALS_ONLY
224453,0,0,54,71986,-1,PARTIALS_ONLY
224454,0,0,39,49634,-1,PARTIALS_ONLY
224455,0,0,9,1239,1299612943,MERGED
224456,0,0,1,484,508411035,MERGED
224457,0,0,36,25209,26436101568,MERGED
224458,0,0,39,26679,27976713722,MERGED
224459,0,0,42,25641,26888216305,MERGED
224460,0,0,51,32263,33832301042,MERGED
224461,0,0,56,40497,-1,PARTIALS_ONLY
224462,0,0,35,25445,-1,PARTIALS_ONLY
224463,0,0,9,5942,6231847614,MERGED
224464,0,0,34,25008,26225408740,MERGED
224466,0,0,11,22350,23437902077,MERGED
224467,0,0,9,5490,5758107546,MERGED
224468,0,0,16,2083,2184061421,MERGED
224469,0,0,1,45,47962762,MERGED
224470,0,0,44,15580,16337447272,MERGED
224471,0,0,10,8330,8735940063,MERGED
224472,0,0,51,98,99318545,MERGED
224473,0,0,45,14980,15708111622,MERGED
224474,87,94887,22,7368,7726620828,MERGED
224476,0,0,19,393,411055759,MERGED
224477,0,0,19,528,552732293,MERGED
224478,0,0,19,456,477533413,MERGED
224479,0,0,19,541,566429571,MERGED
224480,0,0,1,12,13080208,MERGED
224481,0,0,42,24883,-1,PARTIALS_ONLY
224482,0,0,1,202,212596342,MERGED
224483,0,0,1,97,101964148,MERGED
224484,0,0,1,0,451164,MERGED
224485,0,0,1,0,411781,MERGED
224486,0,0,1,0,620731,MERGED
224487,0,0,1,0,520418,MERGED
224488,0,0,1,43,-1,PARTIALS_ONLY
224489,0,0,22,18793,19707418719,MERGED
224490,0,0,30,21580,22630631982,MERGED
224491,120,311890,30,24100,25272850870,MERGED
