run,job,cluster,attempt_s,outcome,mem_mb,nfiles
224573,0001,11878658,3864,completed,1358,10
224573,0002,11878659,4690,completed,1025,10
224573,0003,11878660,4039,completed,681,10
224573,0004,11878661,5382,completed,729,10
224573,0005,11878662,3423,completed,727,10
224573,0006,11878663,4579,completed,679,10
224573,0007,11878664,6131,completed,500,10
224573,0008,11878665,7221,killed_walltime,1217,10
224573,0008,11878985,4659,completed,909,10
224573,0009,11878666,5282,completed,591,10
224573,0010,11878667,4874,completed,1053,10
224573,0011,11878668,3486,completed,1176,10
224573,0012,11878669,5612,completed,531,10
224573,0013,11878670,4136,completed,675,10
224573,0014,11878672,6293,completed,495,10
224573,0015,11878673,4967,completed,1221,10
224573,0016,11878674,2765,completed,502,6
224574,0001,11878677,6829,completed,996,10
224574,0002,11878678,4563,completed,1489,10
224574,0003,11878679,4918,completed,999,10
224574,0004,11878681,6309,completed,589,10
224574,0005,11878683,6728,completed,591,10
224574,0006,11878685,7220,killed_walltime,730,10
224574,0006,11878986,5360,completed,864,10
224574,0007,11878688,3343,completed,899,10
224574,0008,11878691,5696,completed,725,10
224574,0009,11878694,5016,completed,677,10
224574,0010,11878697,6902,completed,861,10
224574,0011,11878700,4412,completed,1582,10
224574,0012,11878703,2956,completed,857,10
224574,0013,11878706,4335,completed,1040,10
224574,0014,11878709,4682,completed,991,10
224574,0015,11878712,3601,completed,679,10
224574,0016,11878715,724,completed,228,2
224575,0001,11878680,2943,completed,1453,10
224575,0002,11878682,1880,completed,1577,7
224576,0001,11878684,5592,completed,811,10
224576,0002,11878687,6436,completed,863,10
224576,0003,11878689,3526,completed,906,10
224576,0004,11878692,5982,completed,723,10
224576,0005,11878695,4582,completed,501,10
224576,0006,11878698,2800,completed,1175,10
224576,0007,11878701,6024,completed,501,10
224576,0008,11878704,4338,completed,951,10
224576,0009,11878707,4986,completed,1181,10
224576,0010,11878710,4263,completed,497,10
224576,0011,11878713,5703,completed,1229,10
224576,0012,11878716,5970,completed,497,10
224576,0013,11878718,5541,completed,1576,10
224576,0014,11878720,2773,completed,859,10
224576,0015,11878722,4617,completed,860,10
224577,0001,11878686,5811,completed,496,10
224577,0002,11878690,6247,completed,536,10
224577,0003,11878693,5270,completed,682,10
224577,0004,11878696,6074,completed,500,10
224577,0005,11878699,5731,completed,1222,10
224577,0006,11878702,7220,killed_walltime,1492,10
224577,0006,11878987,5343,completed,861,10
224577,0007,11878705,3403,completed,902,10
224577,0008,11878708,4798,completed,496,10
224577,0009,11878711,5141,completed,501,10
224577,0010,11878714,5031,completed,501,10
224577,0011,11878717,4863,completed,725,10
224577,0012,11878719,6166,completed,680,10
224577,0013,11878721,6189,completed,259,10
224577,0014,11878723,3604,completed,339,10
224577,0015,11878724,4841,completed,266,10
224577,0016,11878725,4262,completed,394,10
224577,0017,11878726,2484,completed,266,6
224578,0001,11880198,4831,completed,541,10
224578,0002,11880199,3644,completed,1093,10
224578,0003,11880200,4064,completed,679,10
224578,0004,11880202,4423,completed,458,10
224578,0005,11880203,3178,completed,732,10
224578,0006,11880204,5809,completed,453,10
224578,0007,11880205,4617,completed,1316,10
224578,0008,11880206,131,completed,32,1
224579,0001,11880201,35,completed,70,1
