run,subrun,burst_id,n_trig,t_rel_s,gap1_us,gap1_frac,flash_nhits,nhits_frac,both_signatures,ledger_state,ntof_run,bunch,coincidence,fitted,da_ns,n_core,correction_applied_ns
run_102,stat090_0001,0,12,0.0,1967.9,1.9583,22,0.0054,0,LOW_COINC,224606,1118,0.0909,,,,
run_102,stat090_0002,0,89,0.0,241.2,0.2402,560,0.1367,1,MATCHED,224606,2277,0.9213,1,-1.2367173433303833,86,4383062.6
run_104,stat090_0000,1,18,2.0,1333.0,1.3246,117,0.0284,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,4,81,8.0,2128.0,2.1145,148,0.0359,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,5,56,18.5,15762.0,15.6617,171,0.0415,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,15,29,56.1,5308.0,5.2743,144,0.0349,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,18,28,70.1,12470.1,12.3908,126,0.0306,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,19,21,74.1,27520.6,27.3456,126,0.0306,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,24,29,84.6,53860.3,53.5178,115,0.0279,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,42,32,151.8,12718.1,12.6372,127,0.0308,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,43,98,156.8,1056.1,1.0494,794,0.1927,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,45,57,160.3,52000.3,51.6697,136,0.033,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,47,35,168.8,1396.3,1.3874,127,0.0308,0,NTOF_NO_BUNCH,0,-1,,,,,
run_104,stat090_0000,48,11,171.3,10558.7,10.4916,128,0.0311,0,NTOF_NO_BUNCH,0,-1,,,,,
run_108,stat090_0000,121,58,411.4,62630.4,62.3952,96,0.0234,0,NTOF_NO_BUNCH,0,-1,,,,,
run_108,stat090_0000,123,133,422.4,9036.6,9.0027,135,0.033,0,NTOF_NO_BUNCH,0,-1,,,,,
run_108,stat090_0000,127,44,449.9,61792.5,61.5604,96,0.0234,0,NTOF_NO_BUNCH,0,-1,,,,,
run_108,stat090_0000,129,26,457.5,13947.8,13.8954,112,0.0274,0,NTOF_NO_BUNCH,0,-1,,,,,
run_108,stat090_0000,137,17,477.5,3652.7,3.639,90,0.022,0,NTOF_NO_BUNCH,0,-1,,,,,
run_108,stat090_0000,144,18,489.5,53719.9,53.5182,108,0.0264,0,NTOF_NO_BUNCH,0,-1,,,,,
run_112,stat090_0000,212,31,729.3,11113.6,11.0635,117,0.0286,0,NTOF_NO_BUNCH,0,-1,,,,,
run_112,stat090_0000,214,5,738.8,44508.8,44.3081,108,0.0264,0,NTOF_NO_BUNCH,0,-1,,,,,
run_112,stat090_0000,221,38,756.9,38919.8,38.7443,128,0.0313,0,NTOF_NO_BUNCH,0,-1,,,,,
run_112,stat090_0000,225,54,767.9,1614.0,1.6067,303,0.074,0,NTOF_NO_BUNCH,0,-1,,,,,
run_116,stat090_0000,0,23,0.0,749.8,0.7463,23,0.0056,0,NTOF_NO_BUNCH,0,-1,,,,,
run_118,stat090_0019,0,15,0.0,935.1,0.9301,13,0.0031,0,LOW_COINC,224647,1758,0.0,0,nan,0,
run_124,stat090_0006,521,94,1821.6,264.6,0.2638,643,0.1571,1,MATCHED,224654,1241,0.9894,1,-6.990365028381348,91,1001303.3
run_124,stat090_0010,1075,100,3547.2,210.3,0.2093,460,0.1123,1,MATCHED,224655,3091,0.94,1,-9.848133087158203,97,997356.3
run_126,stat090_0000,95,15,270.0,54234.6,53.9749,119,0.0287,0,NTOF_NO_BUNCH,0,-1,,,,,
run_130,stat090_0000,12,69,931.2,235.1,0.2338,549,0.1325,1,MATCHED,224660,300,0.9855,1,6.2985639572143555,68,1039570.2
run_137,stat090_0000,0,5,0.0,11391.8,11.3463,211,0.0517,0,TOO_FEW_TRIGGERS,0,-1,,,,,
run_150,stat090_0000,142,28,142.1,2846.1,2.8391,116,0.0284,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,148,21,148.1,3170.4,3.1626,142,0.0348,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,172,25,172.1,1136.4,1.1336,213,0.0522,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,184,17,184.1,1125.3,1.1226,135,0.0331,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,210,6,210.1,44284.7,44.1762,145,0.0355,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,214,9,214.1,10282.4,10.2572,169,0.0414,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,215,5,215.1,20098.6,20.0494,89,0.0218,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,234,5,234.1,4430.1,4.4193,173,0.0424,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,256,7,256.2,16089.5,16.05,155,0.038,0,NTOF_NO_BUNCH,0,-1,,,,,
run_150,stat090_0000,257,23,257.2,6969.1,6.952,147,0.036,0,NTOF_NO_BUNCH,0,-1,,,,,
run_160,stat090_0000,19,10,19.0,2013.5,2.0095,155,0.038,0,NTOF_NO_BUNCH,0,-1,,,,,
run_160,stat090_0000,21,6,21.0,8633.7,8.6169,143,0.035,0,NTOF_NO_BUNCH,0,-1,,,,,
run_160,stat090_0000,43,10,43.0,6227.2,6.2151,138,0.0338,0,NTOF_NO_BUNCH,0,-1,,,,,
run_160,stat090_0000,48,5,48.0,7180.9,7.1669,109,0.0267,0,NTOF_NO_BUNCH,0,-1,,,,,
run_81,stat090_0001,108,78,1714.8,27.8,0.0277,628,0.1599,1,NTOF_NO_BUNCH,0,-1,,,,,
run_96,stat090_0000,0,46,0.0,1941.7,1.9337,126,0.0308,0,NTOF_NO_BUNCH,0,-1,,,,,
run_96,stat090_0000,9,8,26.0,54272.3,54.0485,152,0.0372,0,NTOF_NO_BUNCH,0,-1,,,,,
