ntof_run,start_utc,hours,window,stream1_on_disk,raw_files,raw_TB,dream_runs,dream_subruns,beam_hours_blocked
224573,2026-07-26 18:54,2.94,measured,yes,156,0.46,run_79,4,2.94
224576,2026-07-27 01:07,2.62,measured,yes,150,0.43,run_79,4,2.62
224577,2026-07-27 03:46,2.93,measured,yes,166,0.45,run_79,4,2.93
224597,2026-07-28 11:38,3.87,measured,yes,161,0.55,run_96,4,3.74
224606,2026-07-29 08:30,2.86,measured,yes,164,0.54,run_102,3,2.86
224614,2026-07-29 17:26,3.35,measured,yes,188,0.6,run_104,4,3.35
224617,2026-07-30 03:18,3.53,measured,yes,202,0.54,run_104,5,3.53
224618,2026-07-30 06:52,2.7,measured,yes,148,0.48,run_104,4,2.7
224624,2026-07-31 01:08,3.24,measured,yes,184,0.5,run_108 run_110,4,3.24
224625,2026-07-31 04:24,2.7,measured,yes,162,0.47,run_110,4,2.7
224628,2026-07-31 08:04,3.09,measured,yes,167,0.55,run_112 run_114,4,3.09
224629,2026-07-31 11:13,2.97,measured,yes,156,0.59,run_114,4,2.97
224632,2026-07-31 15:42,4.33,measured,yes,250,0.88,run_116,5,4.33
224635,2026-08-01 01:58,3.09,measured,yes,178,0.55,run_116,4,3.09
224637,2026-08-01 08:41,3.36,measured,yes,196,0.63,run_116,4,3.36
224638,2026-08-01 12:04,3.18,measured,yes,168,0.64,run_116,4,3.18
224639,2026-08-01 15:17,3.08,measured,yes,178,0.69,run_116,4,3.08
224640,2026-08-01 18:23,1.95,measured,yes,118,0.38,run_116,2,1.95
224649,2026-08-02 16:59,2.52,bracketed,no -- recall from tape,0,0.0,run_118 run_120,2,0.33
224650,2026-08-02 16:59,2.52,bracketed,no -- recall from tape,0,0.0,run_118 run_120,2,0.33
224652,2026-08-02 19:37,3.72,measured,yes,211,0.7,run_122 run_124,4,3.51
224653,2026-08-02 23:22,3.05,measured,yes,198,0.61,run_124,4,3.05
224654,2026-08-03 02:26,2.92,measured,yes,178,0.54,run_124,4,2.92
224655,2026-08-03 05:23,2.83,measured,yes,173,0.6,run_124,4,2.83
224660,2026-08-03 15:31,5.26,measured,yes,176,0.67,run_128 run_130 run_132,7,4.99
224661,2026-08-03 20:49,3.49,measured,yes,156,0.55,run_132,4,3.49
224666,2026-08-04 19:56,3.69,measured,yes,163,0.54,run_139,4,3.6
224667,2026-08-04 23:39,3.83,measured,yes,163,0.53,run_139,5,3.83
224671,2026-08-05 15:33,3.22,measured,yes,154,0.64,run_147,4,3.19
224673,2026-08-05 21:44,3.05,measured,yes,135,0.49,run_147,4,3.05
224688,2026-08-07 11:02,3.26,measured,yes,173,0.76,run_150,4,3.26
224689,2026-08-07 14:20,0.33,measured,yes,19,0.08,run_150,1,0.31
224690,2026-08-07 16:20,2.89,measured,yes,157,0.68,run_152,3,2.89
224691,2026-08-07 19:15,2.73,measured,yes,150,0.61,run_152,4,2.73
224692,2026-08-07 22:27,3.33,measured,yes,153,0.61,run_154,4,3.12
224693,2026-08-08 01:49,3.19,measured,yes,144,0.52,run_154,4,3.19
224694,2026-08-08 05:02,0.98,measured,yes,42,0.16,run_154,2,0.98
224695,2026-08-08 06:26,3.17,measured,yes,140,0.56,run_156,4,3.17
224696,2026-08-08 09:38,2.92,measured,yes,141,0.6,run_156,4,2.92
224697,2026-08-08 12:35,2.97,measured,yes,154,0.67,run_156,4,2.97
224698,2026-08-08 15:35,0.3,measured,yes,47,0.2,run_156,1,0.28
