run,disk_files,cta_files,cta_bytes
224570,0,153,449766458712
224571,0,151,463538791996
224572,0,152,468790103516
224573,0,156,459940878932
224574,0,152,430662467496
224575,0,17,42126853964
224576,0,150,427738280992
224577,0,166,449904420824
224578,0,71,200035934348
224580,0,62,192026799580
224581,0,34,106104656404
224582,0,19,68555811320
224583,0,160,549270324272
224584,0,158,475520373156
224585,0,165,463879500404
224586,0,159,459898438304
224587,0,57,159626078508
224597,0,161,552226122324
224598,0,70,238426241452
224599,0,6,15127992636
224600,0,175,534380814584
224601,0,178,499226344676
224602,91,91,249281679164
224603,0,153,402623241048
224604,0,168,450044377052
224605,0,71,196165549220
224606,0,164,537282227348
224607,0,59,185562367628
224614,188,188,596740054240
224615,171,171,458014720356
224616,201,201,543409582820
224618,148,148,482974939072
224619,162,162,600411881748
224620,170,170,544555836768
224621,100,100,296951776888
224622,20,20,6393653028
224623,169,169,459406065196
224624,184,184,496423338968
224625,162,162,471651401536
224627,88,88,37221549284
224628,167,167,550725756892
224629,156,156,589810103848
224630,37,37,155252397528
224631,33,33,129722314060
224632,250,250,876134386116
224633,169,169,539371397568
224634,169,169,531759766892
224635,178,178,547739769800
224636,209,209,604718180332
224637,196,196,630414737172
224640,118,118,382722664644
224641,163,163,554136471376
224642,170,170,532363050760
224643,169,169,516041699216
224644,223,223,691591625300
224645,196,196,674264541264
224646,178,178,703365266696
224647,184,184,809455684460
224648,4,4,12506831664
224654,178,178,542452138104
224655,173,173,595095712544
224656,171,171,616287012500
224657,110,110,463116521428
224658,42,42,47543737200
224659,4,4,16501517520
224660,176,176,671741035048
224661,156,156,545188597976
224662,151,151,524202916016
224663,130,130,421418722612
224664,23,23,69075756288
224667,163,163,530266880976
224668,141,141,463722787936
224669,41,41,149731167424
224670,182,182,797376059504
224672,135,135,520209168376
224673,135,135,486397365248
224674,125,125,474501217264
224675,136,136,499759854356
224676,138,138,586372625032
224677,45,45,195251884436
224689,19,19,81670182884
224694,42,42,156377071964
224698,159,159,693978277572
