timestamp,p_med_bar,p_min_bar,p_max_bar,n
2026-07-08T19:20:00,507.080,507.035,507.144,36
2026-07-14T20:15:00,504.767,504.595,504.908,85
2026-07-14T20:20:00,504.597,504.519,504.773,59
2026-07-15T11:45:00,502.598,437.448,502.810,50
2026-07-15T11:50:00,502.497,502.335,502.603,147
2026-07-15T11:55:00,502.407,502.296,502.551,147
2026-07-15T12:00:00,502.302,502.120,502.395,146
2026-07-15T12:05:00,502.253,502.077,502.348,147
2026-07-15T12:10:00,502.196,502.054,502.313,146
2026-07-15T12:15:00,502.092,501.991,502.226,147
2026-07-15T12:20:00,502.090,502.014,502.260,147
2026-07-15T12:25:00,502.087,502.010,502.244,146
2026-07-15T12:30:00,502.094,502.008,502.233,146
2026-07-15T12:35:00,502.091,501.954,502.239,147
2026-07-15T12:40:00,502.067,501.895,502.183,146
2026-07-15T12:45:00,502.056,501.875,502.170,147
2026-07-15T12:50:00,502.047,501.906,502.178,147
2026-07-15T12:55:00,502.056,501.903,502.167,146
2026-07-15T13:00:00,502.061,501.893,502.195,147
2026-07-15T13:05:00,502.089,501.847,502.177,146
2026-07-15T13:10:00,502.102,501.920,502.217,147
2026-07-15T13:15:00,502.119,502.008,502.218,147
2026-07-15T13:20:00,502.138,502.016,502.234,146
2026-07-15T13:25:00,502.125,501.995,502.258,147
2026-07-15T13:30:00,502.089,501.919,502.198,147
2026-07-15T13:35:00,502.022,501.817,502.142,146
2026-07-15T13:40:00,501.896,501.803,502.093,147
2026-07-15T13:45:00,501.810,501.758,501.989,146
2026-07-15T13:50:00,501.776,501.664,501.842,147
2026-07-15T13:55:00,501.743,501.584,501.811,147
2026-07-15T14:00:00,501.709,501.539,501.793,146
2026-07-15T14:05:00,501.684,501.511,501.784,147
2026-07-15T14:10:00,501.697,501.470,501.795,147
2026-07-15T14:15:00,501.734,501.524,501.804,146
2026-07-15T14:20:00,501.764,501.631,501.877,147
2026-07-15T14:25:00,501.787,501.707,501.891,146
2026-07-15T14:30:00,501.804,501.739,501.981,147
2026-07-15T14:35:00,501.808,501.742,501.930,147
2026-07-15T14:40:00,501.812,501.753,501.929,146
2026-07-15T14:45:00,501.806,501.751,501.980,147
2026-07-15T14:50:00,501.810,501.742,501.956,147
2026-07-15T14:55:00,501.821,501.751,501.956,146
2026-07-15T15:00:00,501.834,501.767,501.995,147
2026-07-15T15:05:00,501.838,501.769,501.992,147
2026-07-15T15:10:00,501.843,501.787,502.012,146
2026-07-15T15:15:00,501.852,501.759,502.069,147
2026-07-15T15:20:00,501.885,501.786,502.037,146
2026-07-15T15:25:00,501.918,501.783,502.090,147
2026-07-15T15:30:00,501.957,501.815,502.102,147
2026-07-15T15:35:00,501.950,501.821,502.090,146
2026-07-15T15:40:00,501.936,501.801,502.096,147
2026-07-15T15:45:00,501.945,501.815,502.096,147
2026-07-15T15:50:00,501.947,501.834,502.099,146
2026-07-15T15:55:00,501.956,501.816,502.123,147
2026-07-15T16:00:00,501.967,501.821,502.096,146
2026-07-15T16:05:00,502.003,501.844,502.126,147
2026-07-15T16:10:00,502.027,501.820,502.143,147
2026-07-15T16:15:00,502.026,501.874,502.150,146
2026-07-15T16:20:00,502.065,501.859,502.162,147
2026-07-15T16:25:00,502.038,501.840,502.143,146
2026-07-15T16:30:00,502.016,501.826,502.153,147
2026-07-15T16:35:00,501.972,501.821,502.128,146
2026-07-15T16:40:00,501.912,501.782,502.091,147
2026-07-15T16:45:00,501.869,501.799,502.045,147
2026-07-15T16:50:00,501.856,501.758,502.025,146
2026-07-15T16:55:00,501.833,501.780,501.998,147
2026-07-15T17:00:00,501.820,501.701,501.929,146
2026-07-15T17:05:00,501.807,501.708,501.915,147
2026-07-15T17:10:00,501.797,501.715,501.898,147
2026-07-15T17:15:00,501.798,501.709,501.862,146
2026-07-15T17:20:00,501.792,501.695,501.909,147
2026-07-15T17:25:00,501.796,501.708,501.859,146
2026-07-15T17:30:00,501.789,501.673,501.866,147
2026-07-15T17:35:00,501.784,501.665,501.840,146
