run,start_time,gas,beam_type,target_type,trigger_type,drift_gap,frame_type,distance_from_target,average_subrun_time,total_run_time,resist_hv_range,drift_hv_range
13,2026-02-02 12:14:33,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,7768.23,7768.23,"[None, None]",[]
30,2026-02-05 19:07:03,He/Eth 96.5/3.5,neutrons,B4C,Other,30,aluminum,20,1308.55775,52342.31,"[20, 510]","[0, -300, -600]"
10,2026-02-02 11:59:11,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,184.38,184.38,"[None, None]",[]
100,2026-02-24 19:03:14,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.97,66.97,"[530, 530]",[-1000]
101,2026-02-24 19:05:46,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,68.71,68.71,"[530, 530]",[-1000]
102,2026-02-24 19:24:23,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.38,66.38,"[540, 540]",[-1000]
103,2026-02-24 19:32:21,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.95,66.95,"[540, 540]",[-1000]
104,2026-02-24 21:03:34,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.6,66.6,"[540, 540]",[-1000]
105,2026-02-24 21:39:29,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,67.62,67.62,"[540, 540]",[-1000]
106,2026-02-24 21:48:21,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,aluminum,20,66.9,66.9,"[540, 540]",[-1000]
11,2026-02-02 12:02:30,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,382.04,382.04,"[None, None]",[]
112,2026-02-26 19:10:47,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,272.39,272.39,"[720, 720]",[-1000]
114,2026-02-26 22:53:41,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,20,407.62624999999997,32610.1,"[605, 730]","[0, -1000, -500, -1500]"
12,2026-02-02 12:09:00,Ar/CF4/Iso 88/10/2,neutrons,Timepix,Other,30,aluminum,20,157.58,157.58,"[None, None]",[]
120,2026-02-27 16:50:01,Ar/CO2 70/30,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,538.65,538.65,"[None, None]",[0]
122,2026-02-27 17:33:23,Ar/CO2 70/30,neutrons,Lead,Other,6 mm,carbon,55,164.32,164.32,"[None, None]",[0]
124,2026-02-27 19:10:12,Ar/CO2 70/30,neutrons,Lead,Other,6 mm,carbon,55,15.028481012658228,1187.25,"[720, 730]","[0, -1000]"
125,2026-02-27 21:15:14,He/Eth 96.5/3.5,neutrons,Lead,Other,6 mm,carbon,55,63.235,126.47,"[None, None]",[0]
126,2026-02-27 23:24:38,He/Eth 96.5/3.5,neutrons,Lead,Other,6 mm,carbon,55,385.07351648351664,35041.69000000002,"[405, 550]","[-1000, -500, -1500]"
127,2026-02-28 09:41:25,He/Eth 96.5/3.5,neutrons,Lead,Other,6 mm,carbon,55,127.73,127.73,"[None, None]",[0]
128,2026-02-28 10:06:32,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,4.184516129032258,129.72,"[None, None]",[0]
129,2026-02-28 12:04:43,He/Eth 96.5/3.5,neutrons,B4C - 2.5mm (thinner),Other,6 mm,carbon,55,13.821666666666665,414.65,"[530, 550]",[-1000]
31,2026-02-06 11:09:19,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,67.1875,268.75,"[400, 475]",[-600]
32,2026-02-06 11:27:08,He/Eth 96.5/3.5,neutrons,none,Other,30,aluminum,20,310.48175000000003,12419.27,"[20, 510]","[0, -300, -600]"
33,2026-02-06 18:48:39,He/Eth 96.5/3.5,neutrons,carbon,Other,30,aluminum,20,404.42829268292684,16581.56,"[20, 510]","[0, -300, -600]"
34,2026-02-06 23:46:17,He/Eth 96.5/3.5,neutrons,carbon,Other,30,aluminum,20,11066.380000000001,55331.9,"[400, 475]",[-600]
35,2026-02-07 18:11:00,Ar/CF4/Iso 88/10/2,neutrons,carbon,Other,30,aluminum,20,612.620975609756,25117.459999999995,"[20, 510]","[0, -300, -600]"
36,2026-02-08 01:33:28,Ar/CF4/Iso 88/10/2,neutrons,carbon,Other,30,aluminum,20,2702.5825,21620.66,"[400, 450]",[-600]
38,2026-02-09 10:08:43,Ar/CF4/Iso 88/10/2,cs137,carbon,Other,30,aluminum,20,257.88,2063.04,"[400, 510]",[-600]
39,2026-02-09 10:46:27,Ar/CF4/Iso 88/10/2,cs137,carbon,Other,30,aluminum,20,317.44199999999995,1587.2099999999998,"[475, 510]",[-600]
40,2026-02-09 12:27:02,Ar/CF4/Iso 88/10/2,cosmics,none,Other,30,aluminum,20,1143.0,5715.0,"[475, 510]",[-600]
42,2026-02-09 17:58:46,Ar/CF4/Iso 88/10/2,cosmics,carbon,Other,30,aluminum,20,46.32678571428572,1297.15,"[650, 650]",[-600]
43,2026-02-09 18:29:22,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,913.8811111111112,16449.86,"[560, 700]","[0, -600]"
44,2026-02-09 23:22:19,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,16.42529411764706,279.23,"[710, 710]",[-600]
45,2026-02-09 23:28:29,Ar/CF4/CO2 45/40/15,neutrons,carbon,Other,30,aluminum,20,2861.0493749999996,45776.78999999999,"[660, 800]",[-600]
