  1	  2-H 	  1	p	  2223.248	     2223.25  	     0.33260000	           0.3326(7)	     Stable	 0.00E+00	          1.0000(21)
  3	  4-He	  2	p	 20520.460	    20520.46  	       4.20E-11	         4.2E-11(12)	     Stable	 0.00E+00	          3.2E-11(9)
 12	 13-C 	  6	p	  3089.057	   3089.057(9)	     0.00001650	         1.65E-05(8)	     Stable	 0.00E+00	        4.16E-06(20)
 12	 13-C 	  6	p	   595.015	    595.015(9)	     0.00000950	          9.5E-06(4)	     Stable	 0.00E+00	        2.40E-06(10)
 12	 13-C 	  6	p	  3683.920	   3683.920(9)	     0.00122000	          0.00122(3)	     Stable	 0.00E+00	         0.000308(8)
 12	 13-C 	  6	p	  1261.765	   1261.765(9)	     0.00124000	          0.00124(3)	     Stable	 0.00E+00	         0.000313(8)
 12	 13-C 	  6	p	  1856.717	   1856.717(9)	     0.00000620	          6.2E-06(4)	     Stable	 0.00E+00	        1.56E-06(10)
 12	 13-C 	  6	p	  4945.301	   4945.301(3)	     0.00261000	          0.00261(5)	     Stable	 0.00E+00	        0.000659(13)
 27	 28-Al	 13	p	    30.638	   30.6380(10)	     0.07980000	          0.0798(20)	     Stable	 0.00E+00	         0.00896(22)
 27	 28-Al	 13	p	   941.750	     941.75(3)	     0.00246000	          0.00246(5)	     Stable	 0.00E+00	         0.000276(6)
 27	 28-Al	 13	p	   982.951	   982.951(10)	     0.00902000	         0.00902(14)	     Stable	 0.00E+00	        0.001013(16)
 27	 28-Al	 13	p	  1013.588	  1013.588(10)	     0.00555000	         0.00555(10)	     Stable	 0.00E+00	        0.000623(11)
 27	 28-Al	 13	p	   400.589	   400.589(25)	     0.00141000	          0.00141(4)	     Stable	 0.00E+00	         1.58E-04(5)
 27	 28-Al	 13	p	  1342.320	  1342.320(20)	     0.00209000	          0.00209(6)	     Stable	 0.00E+00	         2.35E-04(7)
 27	 28-Al	 13	p	  1372.957	  1372.957(20)	     0.00029000	         0.00029(16)	     Stable	 0.00E+00	         3.3E-05(18)
 27	 28-Al	 13	p	   647.900	     647.90(4)	     0.00005500	         5.5E-05(19)	     Stable	 0.00E+00	         6.2E-06(21)
 27	 28-Al	 13	p	  1589.620	    1589.62(3)	     0.00247000	          0.00247(7)	     Stable	 0.00E+00	         0.000277(8)
 27	 28-Al	 13	p	  1620.260	    1620.26(6)	     0.00016000	        1.60E-04(20)	     Stable	 0.00E+00	        1.80E-05(22)
 27	 28-Al	 13	p	  1592.240	  1592.240(18)	     0.00071000	          0.00071(5)	     Stable	 0.00E+00	          8.0E-05(6)
 27	 28-Al	 13	p	  1622.877	  1622.877(18)	     0.00989000	         0.00989(15)	     Stable	 0.00E+00	        0.001111(17)
 27	 28-Al	 13	p	  1125.289	  1125.289(14)	     0.00083000	          0.00083(4)	     Stable	 0.00E+00	          9.3E-05(5)
 27	 28-Al	 13	p	  2108.197	  2108.197(10)	     0.00549000	         0.00549(11)	     Stable	 0.00E+00	        0.000617(12)
 27	 28-Al	 13	p	  2138.833	  2138.833(10)	     0.00424000	          0.00424(9)	     Stable	 0.00E+00	        0.000476(10)
 27	 28-Al	 13	p	   578.560	    578.56(20)	     0.00007000	         7.0E-05(18)	     Stable	 0.00E+00	         7.9E-06(20)
 27	 28-Al	 13	p	  1229.010	   1229.01(14)	     0.00016000	          1.6E-04(3)	     Stable	 0.00E+00	          1.8E-05(3)
 27	 28-Al	 13	p	  2170.700	    2170.70(3)	     0.00082000	          0.00082(5)	     Stable	 0.00E+00	          9.2E-05(6)
 27	 28-Al	 13	p	  2271.686	  2271.686(21)	     0.00396000	         0.00396(10)	     Stable	 0.00E+00	        0.000445(11)
 27	 28-Al	 13	p	   863.220	     863.22(3)	     0.00011200	        1.12E-04(20)	     Stable	 0.00E+00	        1.26E-05(22)
 27	 28-Al	 13	p	   865.840	     865.84(3)	     0.00087000	          0.00087(3)	     Stable	 0.00E+00	          9.8E-05(3)
 27	 28-Al	 13	p	  2455.408	  2455.408(19)	     0.00007000	            7E-05(4)	     Stable	 0.00E+00	            8E-06(5)
 27	 28-Al	 13	p	  2486.044	  2486.044(19)	     0.00026000	          0.00026(8)	     Stable	 0.00E+00	          2.9E-05(9)
 27	 28-Al	 13	p	   945.370	    945.37(11)	     0.00047000	         0.00047(14)	     Stable	 0.00E+00	         5.3E-05(16)
 27	 28-Al	 13	p	  2534.930	   2534.93(10)	     0.00024000	          2.4E-04(9)	     Stable	 0.00E+00	         2.7E-05(10)
 27	 28-Al	 13	p	   310.200	      310.2(4)	     0.00000520	         5.2E-06(21)	     Stable	 0.00E+00	         5.8E-07(24)
 27	 28-Al	 13	p	  2581.850	   2581.85(17)	     0.00009800	         9.8E-05(20)	     Stable	 0.00E+00	        1.10E-05(22)
 27	 28-Al	 13	p	  1642.420	    1642.42(3)	     0.00068000	          0.00068(4)	     Stable	 0.00E+00	          7.6E-05(5)
 27	 28-Al	 13	p	  1364.860	   1364.86(10)	     0.00066000	          0.00066(5)	     Stable	 0.00E+00	          7.4E-05(6)
 27	 28-Al	 13	p	  1974.140	   1974.14(10)	     0.00004900	         4.9E-05(16)	     Stable	 0.00E+00	         5.5E-06(18)
 27	 28-Al	 13	p	  2987.650	   2987.65(10)	     0.00079000	          0.00079(4)	     Stable	 0.00E+00	          8.9E-05(5)
 27	 28-Al	 13	p	  1673.400	  1673.400(22)	     0.00044000	          0.00044(4)	     Stable	 0.00E+00	          4.9E-05(5)
 27	 28-Al	 13	p	  3265.538	  3265.538(13)	     0.00082000	          0.00082(6)	     Stable	 0.00E+00	          9.2E-05(7)
 27	 28-Al	 13	p	  3316.336	  3316.336(13)	     0.00004900	          4.9E-05(6)	     Stable	 0.00E+00	          5.5E-06(7)
 27	 28-Al	 13	p	  3346.970	  3346.970(13)	     0.00111000	          0.00111(5)	     Stable	 0.00E+00	         1.25E-04(6)
 27	 28-Al	 13	p	  1193.476	  1193.476(22)	     0.00097000	          0.00097(4)	     Stable	 0.00E+00	         1.09E-04(5)
 27	 28-Al	 13	p	  2451.565	  2451.565(11)	     0.00106000	          0.00106(7)	     Stable	 0.00E+00	         1.19E-04(8)
 27	 28-Al	 13	p	  3465.058	   3465.058(7)	     0.01460000	           0.0146(3)	     Stable	 0.00E+00	          0.00164(3)
 27	 28-Al	 13	p	  1968.435	  1968.435(19)	     0.00017000	          1.7E-04(4)	     Stable	 0.00E+00	          1.9E-05(5)
 27	 28-Al	 13	p	  2577.701	  2577.701(12)	     0.00412000	         0.00412(10)	     Stable	 0.00E+00	        0.000463(11)
 27	 28-Al	 13	p	  3560.555	   3560.555(8)	     0.00206000	          0.00206(8)	     Stable	 0.00E+00	         2.31E-04(9)
 27	 28-Al	 13	p	  3591.189	   3591.189(8)	     0.01000000	         0.01000(21)	     Stable	 0.00E+00	        0.001123(24)
 27	 28-Al	 13	p	  2047.770	    2047.77(5)	     0.00013700	        1.37E-04(20)	     Stable	 0.00E+00	        1.54E-05(22)
 27	 28-Al	 13	p	  3639.890	    3639.89(4)	     0.00020000	          2.0E-04(5)	     Stable	 0.00E+00	          2.2E-05(6)
 27	 28-Al	 13	p	  1437.400	    1437.40(6)	     0.00052000	         0.00052(11)	     Stable	 0.00E+00	         5.8E-05(12)
 27	 28-Al	 13	p	  1570.240	    1570.24(6)	     0.00038000	         0.00038(13)	     Stable	 0.00E+00	         4.3E-05(15)
 27	 28-Al	 13	p	  3678.305	  3678.305(14)	     0.00061000	          0.00061(4)	     Stable	 0.00E+00	          6.9E-05(5)
 27	 28-Al	 13	p	  3708.939	  3708.939(14)	     0.00088000	          0.00088(8)	     Stable	 0.00E+00	          9.9E-05(9)
 27	 28-Al	 13	p	  2255.370	    2255.37(3)	     0.00109000	          0.00109(5)	     Stable	 0.00E+00	         1.22E-04(6)
 27	 28-Al	 13	p	  2502.662	  2502.662(22)	     0.00029000	          0.00029(8)	     Stable	 0.00E+00	          3.3E-05(9)
 27	 28-Al	 13	p	  2862.010	  2862.010(12)	     0.00007400	         7.4E-05(12)	     Stable	 0.00E+00	         8.3E-06(13)
 27	 28-Al	 13	p	  2903.210	    2903.21(3)	     0.00002200	         2.2E-05(10)	     Stable	 0.00E+00	         2.5E-06(11)
 27	 28-Al	 13	p	  3875.487	   3875.487(8)	     0.00618000	         0.00618(14)	     Stable	 0.00E+00	        0.000694(16)
 27	 28-Al	 13	p	  2277.950	    2277.95(3)	     0.00008000	            8E-05(6)	     Stable	 0.00E+00	            9E-06(7)
 27	 28-Al	 13	p	  2887.214	  2887.214(24)	     0.00038000	          0.00038(4)	     Stable	 0.00E+00	          4.3E-05(5)
 27	 28-Al	 13	p	  3900.690	  3900.690(24)	     0.00049000	          0.00049(5)	     Stable	 0.00E+00	          5.5E-05(6)
 27	 28-Al	 13	p	  2312.539	  2312.539(22)	     0.00006900	         6.9E-05(12)	     Stable	 0.00E+00	         7.7E-06(13)
 27	 28-Al	 13	p	  2921.797	  2921.797(15)	     0.00053000	          0.00053(4)	     Stable	 0.00E+00	          6.0E-05(5)
 27	 28-Al	 13	p	  3904.638	  3904.638(12)	     0.00040000	          0.00040(4)	     Stable	 0.00E+00	          4.5E-05(5)
 27	 28-Al	 13	p	  3935.272	  3935.272(12)	     0.00063000	          0.00063(5)	     Stable	 0.00E+00	          7.1E-05(6)
 27	 28-Al	 13	p	  3230.600	    3230.60(7)	     0.00005300	          5.3E-05(6)	     Stable	 0.00E+00	          6.0E-06(7)
 27	 28-Al	 13	p	  4213.430	    4213.43(7)	     0.00011000	         1.10E-04(6)	     Stable	 0.00E+00	         1.24E-05(7)
 27	 28-Al	 13	p	  3448.070	    3448.07(7)	     0.00006300	         6.3E-05(10)	     Stable	 0.00E+00	         7.1E-06(11)
 27	 28-Al	 13	p	  4461.530	    4461.53(7)	     0.00008200	          8.2E-05(6)	     Stable	 0.00E+00	          9.2E-06(7)
 27	 28-Al	 13	p	  2973.420	    2973.42(4)	     0.00004700	          4.7E-05(6)	     Stable	 0.00E+00	          5.3E-06(7)
 27	 28-Al	 13	p	  3623.870	    3623.87(4)	     0.00016800	        1.68E-04(12)	     Stable	 0.00E+00	        1.89E-05(13)
 27	 28-Al	 13	p	  4565.480	    4565.48(3)	     0.00005300	          5.3E-05(4)	     Stable	 0.00E+00	          6.0E-06(5)
 27	 28-Al	 13	p	  4596.120	    4596.12(3)	     0.00028000	          0.00028(6)	     Stable	 0.00E+00	          3.1E-05(7)
 27	 28-Al	 13	p	  2419.200	  2419.200(22)	     0.00027400	        0.000274(20)	     Stable	 0.00E+00	        3.08E-05(22)
 27	 28-Al	 13	p	  2552.052	  2552.052(11)	     0.00014000	          1.4E-04(4)	     Stable	 0.00E+00	          1.6E-05(5)
 27	 28-Al	 13	p	  3067.990	  3067.990(18)	     0.00019000	          1.9E-04(5)	     Stable	 0.00E+00	          2.1E-05(6)
 27	 28-Al	 13	p	  4660.043	   4660.043(5)	     0.00605000	         0.00605(16)	     Stable	 0.00E+00	        0.000680(18)
 27	 28-Al	 13	p	  4690.676	   4690.676(5)	     0.01090000	         0.01090(24)	     Stable	 0.00E+00	          0.00122(3)
 27	 28-Al	 13	p	  1173.450	  1173.450(13)	     0.00066000	          0.00066(4)	     Stable	 0.00E+00	          7.4E-05(5)
 27	 28-Al	 13	p	  2563.350	    2563.35(3)	     0.00021000	          2.1E-04(5)	     Stable	 0.00E+00	          2.4E-05(6)
 27	 28-Al	 13	p	  2625.859	  2625.859(14)	     0.00264000	          0.00264(6)	     Stable	 0.00E+00	         0.000297(7)
 27	 28-Al	 13	p	  3391.699	  3391.699(23)	     0.00117000	          0.00117(5)	     Stable	 0.00E+00	         1.31E-04(6)
 27	 28-Al	 13	p	  3751.035	  3751.035(15)	     0.00006900	          6.9E-05(6)	     Stable	 0.00E+00	          7.7E-06(7)
 27	 28-Al	 13	p	  4733.844	  4733.844(11)	     0.01260000	           0.0126(3)	     Stable	 0.00E+00	          0.00142(3)
 27	 28-Al	 13	p	  4764.477	  4764.477(11)	     0.00210000	         0.00210(10)	     Stable	 0.00E+00	        2.36E-04(11)
 27	 28-Al	 13	p	  2247.400	    2247.40(3)	     0.00007800	         7.8E-05(12)	     Stable	 0.00E+00	         8.8E-06(13)
 27	 28-Al	 13	p	  3889.676	  3889.676(11)	     0.00047000	          0.00047(5)	     Stable	 0.00E+00	          5.3E-05(6)
 27	 28-Al	 13	p	  4903.113	   4903.113(6)	     0.00716000	         0.00716(18)	     Stable	 0.00E+00	        0.000804(20)
